"CD_A,C,2","PER,C,4","AGEB,C,5","UPM,C,7","ENT,C,2","CON,C,5","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,N,2,0","P2,N,1,0","P3,N,2,0","P4,N,2,0","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
14,1015,058-7,0100177,01,40007,0021,4,1,01,15/09/2015,01,18/09/2015,2,1,0,0,01,02,2177
14,1015,058-7,0100177,01,40007,0051,5,1,01,15/09/2015,01,18/09/2015,2,1,0,0,01,01,2177
14,1015,058-7,0100177,01,40007,0107,2,1,01,15/09/2015,01,18/09/2015,6,1,0,0,06,04,2177
14,1015,058-7,0100177,01,40007,0136,3,1,01,02/10/2015,01,05/10/2015,2,1,0,0,02,02,2177
14,1015,058-7,0100177,01,40007,0079,1,1,01,15/09/2015,01,29/09/2015,2,1,0,0,02,01,2177
14,1015,143-9,0100462,01,40027,0066,5,1,01,29/09/2015,01,30/09/2015,2,1,0,0,01,01,2171
14,1015,143-9,0100462,01,40027,0128,2,1,01,29/09/2015,01,01/10/2015,2,1,0,0,02,01,2171
14,1015,143-9,0100462,01,40027,0099,1,1,01,02/10/2015,01,08/10/2015,4,1,0,0,04,02,2171
14,1015,143-9,0100462,01,40027,0008,3,1,01,30/09/2015,01,01/10/2015,5,1,0,0,02,03,2171
14,1015,143-9,0100462,01,40027,0037,4,1,01,30/09/2015,01,01/10/2015,5,1,0,0,02,02,2171
14,1015,169-3,0100544,01,40041,0065,4,1,01,21/09/2015,01,24/09/2015,4,1,0,0,02,04,2831
14,1015,169-3,0100544,01,40041,0015,5,1,01,05/10/2015,01,06/10/2015,4,1,0,0,02,03,2831
14,1015,169-3,0100544,01,40041,0040,3,1,06,13/10/2015,06,13/10/2015,0,0,0,0,,,0
14,1015,169-3,0100544,01,40041,0076,1,1,07,13/10/2015,07,13/10/2015,0,0,0,0,,,0
14,1015,169-3,0100544,01,40041,0101,2,1,01,21/09/2015,01,28/09/2015,6,1,0,0,01,02,2831
14,1015,130-1,0100390,01,40059,0072,3,1,01,17/09/2015,01,18/09/2015,4,1,0,0,02,01,2469
14,1015,130-1,0100390,01,40059,0069,5,1,01,17/09/2015,01,18/09/2015,2,1,0,0,01,01,2469
14,1015,130-1,0100390,01,40059,0039,1,1,01,18/09/2015,01,20/09/2015,2,1,0,0,02,01,2469
14,1015,130-1,0100390,01,40059,0050,4,1,01,21/09/2015,01,22/09/2015,4,1,0,0,01,02,2469
14,1015,130-1,0100390,01,40059,0009,2,1,01,18/09/2015,01,20/09/2015,4,1,0,0,02,03,2469
14,1015,242-2,0100918,01,40067,0060,3,1,01,29/09/2015,01,01/10/2015,4,1,0,0,03,01,2104
14,1015,242-2,0100918,01,40067,0102,5,1,01,25/09/2015,01,28/09/2015,4,1,0,0,03,03,2104
14,1015,242-2,0100918,01,40067,0036,2,1,01,25/09/2015,01,28/09/2015,3,1,0,0,01,03,2104
14,1015,242-2,0100918,01,40067,0075,4,1,01,25/09/2015,01,05/10/2015,1,0,0,0,01,01,2104
14,1015,242-2,0100918,01,40067,0013,1,1,01,29/09/2015,01,30/09/2015,3,1,0,0,01,01,2104
14,1015,219-3,0100745,01,40124,0052,4,1,01,30/09/2015,01,01/10/2015,4,1,0,0,02,01,1993
14,1015,219-3,0100745,01,40124,0034,3,1,01,29/09/2015,01,30/09/2015,3,1,0,0,02,02,1993
14,1015,219-3,0100745,01,40124,0070,5,1,01,28/09/2015,01,29/09/2015,9,1,0,0,02,04,1993
14,1015,219-3,0100745,01,40124,0001,1,1,01,28/09/2015,01,29/09/2015,11,1,0,0,05,04,1993
14,1015,219-3,0100745,01,40124,0016,2,1,01,28/09/2015,01,01/10/2015,3,1,0,0,01,01,1993
14,1015,049-7,0102079,01,40134,0097,2,1,01,17/09/2015,01,18/09/2015,3,1,0,0,02,01,2185
14,1015,049-7,0102079,01,40134,0037,4,1,01,17/09/2015,01,18/09/2015,3,1,0,0,02,02,2185
14,1015,049-7,0102079,01,40134,0102,3,1,01,17/09/2015,01,18/09/2015,4,1,0,0,02,01,2185
14,1015,049-7,0102079,01,40134,0091,1,1,01,17/09/2015,01,18/09/2015,6,1,0,0,02,02,2185
14,1015,049-7,0102079,01,40134,0046,5,1,01,17/09/2015,01,18/09/2015,6,1,0,0,01,02,2185
14,1015,255-A,0101005,01,40188,0008,3,1,01,22/09/2015,01,05/10/2015,4,1,0,0,02,02,2286
14,1015,255-A,0101005,01,40188,0053,2,1,01,22/09/2015,01,23/09/2015,3,1,0,0,01,01,2286
14,1015,255-A,0101005,01,40188,0033,1,1,01,22/09/2015,01,23/09/2015,2,1,0,0,02,02,2286
14,1015,255-A,0101005,01,40188,0031,4,1,01,24/09/2015,01,25/09/2015,7,1,0,0,07,02,2286
14,1015,255-A,0101005,01,40188,0084,5,1,01,22/09/2015,01,23/09/2015,2,1,0,0,01,01,2286
14,1015,262-A,0101078,01,40202,0060,3,1,01,23/09/2015,01,24/09/2015,2,1,0,0,01,01,2466
14,1015,262-A,0101078,01,40202,0128,1,1,07,13/10/2015,07,13/10/2015,0,0,0,0,,,0
14,1015,262-A,0101078,01,40202,0036,2,1,01,24/09/2015,01,25/09/2015,1,0,0,0,01,01,2466
14,1015,262-A,0101078,01,40202,0115,5,1,01,23/09/2015,01,25/09/2015,10,1,0,0,05,02,2466
14,1015,262-A,0101078,01,40202,0125,4,1,01,23/09/2015,01,28/09/2015,6,1,0,0,02,01,2466
14,1015,268-7,0101123,01,40203,0044,2,1,01,28/09/2015,01,06/10/2015,4,1,0,0,01,02,2625
14,1015,268-7,0101123,01,40203,0156,5,1,01,28/09/2015,01,29/09/2015,2,1,0,0,01,01,2625
14,1015,268-7,0101123,01,40203,0004,1,1,01,28/09/2015,01,29/09/2015,3,1,0,0,02,01,2625
14,1015,268-7,0101123,01,40203,0084,3,1,01,29/09/2015,01,30/09/2015,5,1,0,0,02,01,2625
14,1015,268-7,0101123,01,40203,0124,4,1,01,28/09/2015,01,01/10/2015,4,1,0,0,01,04,2625
14,1015,304-5,0101384,01,40204,0030,2,1,01,23/09/2015,01,25/09/2015,3,1,0,0,01,02,2081
14,1015,304-5,0101384,01,40204,0048,3,1,01,24/09/2015,01,25/09/2015,3,1,0,0,02,01,2081
14,1015,304-5,0101384,01,40204,0069,4,1,01,23/09/2015,01,01/10/2015,3,1,0,0,01,01,2081
14,1015,304-5,0101384,01,40204,0086,5,1,01,22/09/2015,01,01/10/2015,5,1,0,0,02,02,2081
14,1015,304-5,0101384,01,40204,0009,1,1,07,13/10/2015,07,13/10/2015,0,0,0,0,,,0
14,1015,169-3,0100535,01,40227,0047,3,1,01,21/09/2015,01,23/09/2015,7,1,0,0,02,04,2185
14,1015,169-3,0100535,01,40227,0080,1,1,01,21/09/2015,01,23/09/2015,4,1,0,0,02,01,2185
14,1015,169-3,0100535,01,40227,0012,4,1,01,21/09/2015,01,05/10/2015,1,0,0,0,01,01,2185
14,1015,169-3,0100535,01,40227,0101,2,1,01,21/09/2015,01,23/09/2015,3,1,0,0,01,02,2185
14,1015,169-3,0100535,01,40227,0006,5,1,01,21/09/2015,01,23/09/2015,5,2,2,3,01,03,2185
14,1015,387-8,0101899,01,40232,0003,2,1,01,22/09/2015,01,23/09/2015,5,1,0,0,01,03,2831
14,1015,387-8,0101899,01,40232,0100,5,1,01,22/09/2015,01,23/09/2015,4,1,0,0,02,01,2831
14,1015,387-8,0101899,01,40232,0213,4,1,01,24/09/2015,01,25/09/2015,2,1,0,0,02,02,2831
14,1015,387-8,0101899,01,40232,0044,1,1,01,05/10/2015,01,06/10/2015,2,1,0,0,01,01,2831
14,1015,387-8,0101899,01,40232,0137,3,1,01,28/09/2015,01,29/09/2015,4,1,0,0,02,02,2831
14,1015,222-5,0100777,01,40259,0099,3,1,01,29/09/2015,01,30/09/2015,4,1,0,0,01,03,2165
14,1015,222-5,0100777,01,40259,0031,5,1,01,29/09/2015,01,30/09/2015,4,1,0,0,01,01,2165
14,1015,222-5,0100777,01,40259,0078,2,1,01,01/10/2015,01,02/10/2015,4,1,0,0,04,04,2165
14,1015,222-5,0100777,01,40259,0055,1,1,07,13/10/2015,07,13/10/2015,0,0,0,0,,,0
14,1015,222-5,0100777,01,40259,0007,4,1,01,29/09/2015,01,02/10/2015,5,1,0,0,03,05,2165
14,1015,236-7,0100884,01,40285,0089,5,1,07,13/10/2015,07,13/10/2015,0,0,0,0,,,0
14,1015,236-7,0100884,01,40285,0019,3,1,01,23/09/2015,01,24/09/2015,6,1,0,0,02,03,1954
14,1015,236-7,0100884,01,40285,0048,1,1,01,23/09/2015,01,24/09/2015,5,1,0,0,02,02,1954
14,1015,236-7,0100884,01,40285,0029,2,1,01,05/10/2015,01,06/10/2015,6,1,0,0,02,02,1954
14,1015,236-7,0100884,01,40285,0121,4,1,01,23/09/2015,01,24/09/2015,2,1,0,0,02,02,1954
14,1015,264-9,0101090,01,40292,0070,3,1,01,01/10/2015,01,02/10/2015,5,1,0,0,02,03,2084
14,1015,264-9,0101090,01,40292,0084,1,1,01,29/09/2015,01,30/09/2015,7,1,0,0,02,02,2084
14,1015,264-9,0101090,01,40292,0050,2,1,01,25/09/2015,01,29/09/2015,3,1,0,0,01,02,2084
14,1015,264-9,0101090,01,40292,0031,5,1,01,25/09/2015,01,01/10/2015,2,1,0,0,02,02,2084
14,1015,264-9,0101090,01,40292,0014,4,1,01,01/10/2015,01,01/10/2015,2,1,0,0,02,02,2084
14,1015,032-2,0100031,01,40317,0071,1,1,01,15/09/2015,01,08/10/2015,4,1,0,0,02,02,2186
14,1015,032-2,0100031,01,40317,0029,3,1,01,15/09/2015,01,25/09/2015,5,1,0,0,01,01,2186
14,1015,032-2,0100031,01,40317,0012,5,1,01,15/09/2015,01,02/10/2015,5,1,0,0,01,03,2186
14,1015,032-2,0100031,01,40317,0047,4,1,01,15/09/2015,01,22/09/2015,5,1,0,0,01,01,2186
14,1015,032-2,0100031,01,40317,0090,2,1,01,15/09/2015,01,22/09/2015,10,1,0,0,02,06,2186
14,1015,140-5,0100449,01,40324,0080,2,1,01,01/10/2015,01,02/10/2015,7,2,2,5,03,03,2304
14,1015,140-5,0100449,01,40324,0058,1,1,01,01/10/2015,01,02/10/2015,5,1,0,0,03,04,2304
14,1015,140-5,0100449,01,40324,0039,5,1,01,01/10/2015,01,02/10/2015,15,1,0,0,15,03,2304
14,1015,140-5,0100449,01,40324,0097,3,1,01,01/10/2015,01,02/10/2015,4,1,0,0,01,01,2304
14,1015,140-5,0100449,01,40324,0017,4,1,01,01/10/2015,01,02/10/2015,4,1,0,0,02,04,2304
14,1015,213-6,0100705,01,40326,0002,1,1,01,21/09/2015,01,28/09/2015,5,1,0,0,01,03,2310
14,1015,213-6,0100705,01,40326,0024,2,1,01,18/09/2015,01,22/09/2015,1,0,0,0,01,01,2310
