"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","FOLIO,C,3","CONSEC,C,3","PAREDES,C,2","TECHOS,C,2","PISOS,C,1","COCINA,C,1","COCINAD,C,1","CUARTOSD,C,2","TOTCUARTOS,C,2","SUPERFICIE,C,3","RANGOSUP,C,1","DISPOAG,C,1","SANITARIO,C,1","SERVSAN,C,1","DRENAJE,C,1","ELECTRICI,C,1","FOCOS,C,2","COMBUS,C,1","ESTEREO,C,1","RADIO,C,1","TV,C,1","VIDEO,C,1","REFRI,C,1","LAVADORA,C,1","HORNOMI,C,1","AUTO,C,1","LAPTOP,C,1","COMPU,C,1","IMPRESO,C,1","VIDEOJ,C,1","TELEFONO,C,1","CELU,C,1","TVPAGA,C,1","INTERNET,C,1"
2,03,003,0001,3481,030087,03,111111,003,038,08,08,2,1,2,02,03,060,,5,1,3,2,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,3481,030087,04,111111,003,039,02,03,1,1,2,01,02,000,2,5,1,3,2,2,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,3481,030087,05,111111,003,040,02,02,2,2,,01,01,000,1,5,1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,3208,030088,01,111111,003,041,08,08,2,1,2,02,04,000,4,1,1,1,1,1,09,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2
2,03,003,0001,3208,030088,02,111111,003,042,08,08,2,1,2,01,02,000,2,1,1,2,1,1,05,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,3208,030088,03,111111,003,043,08,08,3,1,2,03,05,000,6,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1
2,03,003,0001,3208,030088,04,111111,003,044,08,08,3,1,2,03,04,000,6,1,1,1,1,1,06,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1
2,03,003,0001,3208,030088,05,111111,003,045,08,08,2,1,2,01,02,000,1,1,1,1,1,1,04,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,2,2
2,03,003,0001,2017,030097,01,111111,003,046,08,08,3,1,1,01,01,000,1,1,1,1,1,1,01,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,2017,030097,02,111111,003,047,08,08,3,2,,01,01,000,1,1,1,1,1,1,02,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,2017,030097,04,111111,003,049,08,08,3,1,2,03,05,000,6,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1
2,03,003,0001,2017,030097,05,111111,003,050,08,03,2,1,2,03,06,000,2,1,1,1,1,1,08,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2
2,03,003,0001,1926,030109,01,111111,003,051,08,08,3,1,2,04,05,000,6,1,1,1,1,1,06,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
2,03,003,0001,1926,030109,02,111111,003,052,08,08,2,1,2,03,04,120,,2,1,2,1,1,06,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,1926,030109,03,111111,003,053,08,08,2,1,2,01,02,000,2,1,1,1,1,1,04,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,1926,030109,04,111111,003,054,08,08,2,1,2,03,06,000,6,1,1,1,1,1,09,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2
2,03,003,0001,1926,030109,05,111111,003,055,08,03,2,1,2,02,03,000,3,2,1,2,1,1,04,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2
2,03,003,0001,2267,030117,01,111111,003,056,08,08,2,1,2,02,05,000,7,1,1,1,1,1,09,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
2,03,003,0001,2267,030117,02,111111,003,057,08,08,2,2,,01,01,000,1,1,1,1,1,1,02,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,2267,030117,03,111111,003,058,08,08,3,1,2,03,06,000,9,1,1,1,1,1,09,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2
2,03,003,0001,2267,030117,04,111111,003,059,08,08,3,1,2,03,08,000,7,1,1,1,1,1,16,1,1,1,1,1,1,1,1,2,9,1,1,1,1,1,1,1
2,03,003,0001,2267,030117,05,111111,003,060,08,08,2,1,2,02,06,240,,1,1,1,1,1,11,5,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
2,03,003,0001,3388,030118,01,111111,003,061,08,08,2,1,2,01,03,000,5,1,1,1,1,1,03,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,3388,030118,02,111111,003,062,08,03,2,1,2,01,04,000,5,1,1,1,1,1,04,1,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2
2,03,003,0001,3388,030118,03,111111,003,063,08,08,2,1,1,01,01,000,2,1,1,1,1,1,03,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,2
2,03,003,0001,3388,030118,04,111111,003,064,08,08,3,1,2,03,06,000,6,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2
2,03,003,0001,3388,030118,05,111111,003,065,08,08,2,1,2,03,05,000,5,1,1,1,1,1,10,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
2,03,003,0001,1930,030123,01,111111,003,066,08,03,2,1,2,01,02,009,,2,1,2,1,1,03,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,1930,030123,02,111111,003,067,08,08,2,1,2,03,04,200,,1,1,1,1,1,10,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2
2,03,003,0001,1930,030123,03,111111,003,068,08,08,3,1,2,02,03,000,7,1,1,1,1,1,06,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,1930,030123,04,111111,003,069,08,08,2,1,2,02,03,070,,1,1,1,1,1,06,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2
2,03,003,0001,1930,030123,05,111111,003,070,08,03,2,1,2,03,04,000,5,2,1,1,1,1,04,1,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2
2,03,003,0001,3462,030138,01,111111,003,071,08,08,2,1,2,02,04,032,,1,1,2,1,1,07,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2
2,03,003,0001,3462,030138,02,111111,003,072,08,08,2,1,2,02,03,000,2,5,1,2,2,1,07,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2
2,03,003,0001,3462,030138,03,111111,003,073,08,08,2,1,2,02,05,064,,1,1,1,2,1,13,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
2,03,003,0001,3462,030138,04,111111,003,074,08,03,2,1,2,03,05,000,7,1,1,1,1,1,07,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2
2,03,003,0001,3462,030138,05,111111,003,075,08,08,2,1,2,02,06,000,3,1,1,1,2,1,13,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2
2,03,003,0001,2962,030169,01,111111,003,076,08,08,2,1,2,02,03,000,2,1,1,1,2,1,03,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2
2,03,003,0001,2962,030169,03,111111,003,078,08,08,2,1,2,03,05,065,,1,1,1,1,1,08,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,2962,030169,05,111111,003,080,08,08,2,1,2,02,04,000,9,1,1,1,1,1,07,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1
2,03,003,0001,2943,030173,01,111111,003,081,08,08,3,1,2,02,03,000,2,1,1,1,1,1,07,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2
2,03,003,0001,2943,030173,02,111111,003,082,08,08,2,1,2,02,04,000,3,1,1,1,1,1,06,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,2943,030173,03,111111,003,083,08,08,2,1,2,02,04,000,4,1,1,1,1,1,07,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1
2,03,003,0001,2943,030173,04,111111,003,084,08,08,3,1,2,02,04,000,3,1,1,1,1,1,08,1,1,1,1,1,1,1,1,2,2,2,2,2,9,9,9,9
2,03,003,0001,3049,030251,01,111111,003,086,08,08,2,1,2,03,05,000,7,1,1,1,1,1,07,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2
2,03,003,0001,3049,030251,02,111111,003,087,06,02,1,1,2,02,04,000,3,1,1,2,1,1,05,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2
2,03,003,0001,3049,030251,03,111111,003,088,08,08,2,1,1,02,02,048,,1,1,1,1,1,06,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
2,03,003,0001,3049,030251,04,111111,003,089,08,08,2,1,1,02,02,000,2,2,1,1,1,1,04,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2
2,03,003,0001,3049,030251,05,111111,003,090,08,08,2,1,2,03,05,000,5,2,1,1,1,1,10,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2
2,03,003,0001,3091,030272,01,111111,003,091,08,08,3,1,2,03,06,000,7,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2
2,03,003,0001,3091,030272,02,111111,003,092,08,08,3,1,2,02,05,000,7,1,1,1,1,1,06,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2
2,03,003,0001,3091,030272,03,111111,003,093,08,08,2,1,2,02,06,000,7,1,1,1,1,1,15,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2
2,03,003,0001,3091,030272,04,111111,003,094,08,08,3,1,2,03,06,000,7,1,1,1,1,1,10,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1
2,03,003,0001,3091,030272,05,111111,003,095,08,08,3,1,2,03,04,000,7,1,1,1,1,1,09,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1
2,03,003,0001,3335,030329,01,111111,003,096,08,08,3,1,2,02,04,000,2,1,1,1,1,1,07,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2
2,03,003,0001,3335,030329,03,111111,003,098,08,08,3,1,2,02,04,000,5,1,1,1,1,1,08,1,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2
2,03,003,0001,3335,030329,04,111111,003,099,08,08,3,1,2,03,05,000,7,1,1,1,1,1,09,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1
2,03,003,0001,3335,030329,05,111111,003,100,08,08,2,1,2,04,06,000,5,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
2,28,009,0001,0067,280501,01,111111,028,001,08,08,3,1,2,03,06,000,2,1,1,1,2,1,10,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2
2,28,009,0001,0067,280501,02,111111,028,002,08,03,3,1,2,02,04,000,9,1,1,1,2,1,04,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2
2,28,009,0001,0067,280501,03,111111,028,003,08,08,2,1,2,03,05,000,9,1,1,1,1,1,06,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2
2,28,009,0001,0067,280501,04,111111,028,004,08,08,3,1,2,01,01,000,9,1,1,2,2,1,03,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2
2,28,009,0001,0067,280501,05,111111,028,005,08,08,2,1,1,01,01,000,1,1,1,1,1,1,02,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2
2,28,038,0001,1137,280505,01,111111,028,006,08,08,3,1,2,02,03,000,2,1,1,1,1,1,04,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
2,28,038,0001,1137,280505,02,111111,028,007,06,02,2,2,,01,01,000,1,2,1,2,2,1,02,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,1137,280505,03,111111,028,008,08,02,2,1,2,02,05,000,2,1,1,1,1,1,06,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2
2,28,038,0001,1137,280505,04,111111,028,009,06,03,2,2,,01,01,000,2,2,1,2,1,1,06,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2
2,28,038,0001,1137,280505,05,111111,028,010,08,08,3,1,2,01,02,000,1,1,1,1,1,1,06,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
2,28,003,0122,124A,280507,01,111111,028,011,08,08,3,1,2,02,04,000,6,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2
2,28,003,0122,124A,280507,02,111111,028,012,08,08,2,1,2,02,03,000,4,1,1,1,1,1,06,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2
2,28,003,0122,124A,280507,04,111111,028,014,06,02,2,2,,01,01,000,1,2,1,2,2,1,02,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2,28,003,0122,124A,280507,05,111111,028,015,08,08,2,2,,02,03,000,2,1,1,2,1,1,03,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,0425,280511,01,111111,028,016,08,08,3,1,2,01,02,000,1,1,1,1,1,1,03,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2
2,28,038,0001,0425,280511,02,111111,028,017,08,03,2,1,1,02,02,000,1,2,1,1,1,1,03,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,0425,280511,03,111111,028,018,08,08,2,2,,03,04,000,1,2,1,2,1,1,02,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
