"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCUNIV,C,1","ALLOPTS,C,1","NONEOP,C,1","NOSABE,C,1","HRSTV,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","DIASPER,C,1","ARTIPER,C,3","NOTIPER,C,3","CYTPER,C,3","DIASREV,C,2","ARTREV,C,2","NOTIREV,C,2","CYTREV,C,2","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","CINTERN,C,1","ACCINTER,C,1","HORASIN,C,3","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLI,C,1","CORREOE,C,1","MEDICINA,C,1","OTROS,C,1","MUSARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSCYT,C,1","PLANETA,C,1","EXPTYI,C,1","SEMNCYT,C,1","MUCHPCYT,C,1","DESCYTNE,C,1","PERSINCC,C,1","PREFTVSI,C,1","NOLEECYT,C,1","NUMREN,C,2","FACPER,N,10,0"
01,018,1,7,03,003,0001,1926,030109,02,111111,4,6,5,3,2,1,0,0,0,014,004,000,000,000,000,7,007,007,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,2,2,07,3606
01,038,1,7,03,003,0001,1926,030109,03,111111,3,4,6,5,1,2,0,0,0,000,000,000,000,000,000,4,010,008,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,2,1,1,3,01,3606
01,025,1,7,03,003,0001,1926,030109,04,111111,6,3,5,2,4,1,0,0,0,007,004,001,021,005,000,4,035,005,004,03,10,99,99,REVISTAS LABORALES,,,1,02,00,1,1,015,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,3,3,04,3606
01,060,1,7,03,003,0001,1926,030109,05,111111,0,0,0,0,0,0,1,0,0,014,007,001,001,001,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,01,3606
01,047,2,7,03,003,0001,2267,030117,01,111111,6,4,1,3,2,5,0,0,0,006,000,000,001,000,000,0,000,000,000,00,00,00,00,,,,1,01,02,1,1,010,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,5,5,3,5,1,01,1103
01,018,1,7,03,003,0001,2267,030117,02,111111,4,5,3,2,6,1,0,0,0,021,000,000,000,000,000,1,003,000,000,00,00,00,00,,,,1,08,11,1,1,001,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,5,2,5,2,01,990
01,067,2,7,03,003,0001,2267,030117,03,111111,1,2,4,3,5,6,0,0,0,028,014,003,021,010,000,0,000,000,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,2,2,1,1,01,1103
01,023,2,7,03,003,0001,2267,030117,04,111111,3,4,5,2,1,6,0,0,0,021,005,003,014,007,000,0,000,000,000,01,02,01,00,MUY INTERESANTE,PROCESO,VANIDADES,1,01,03,1,1,021,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,3,3,2,2,1,03,1103
01,028,2,7,03,003,0001,2267,030117,05,111111,6,4,1,2,5,3,0,0,0,010,006,001,000,000,000,0,000,000,000,15,80,00,80,BIOLOGIA MARINA,CIENCIA Y TECNOLOGIA,OCEANOGRAFIA,1,01,03,1,1,050,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,3,2,2,4,4,02,1103
01,023,2,7,03,003,0001,3388,030118,01,111111,6,4,2,3,5,1,0,0,0,024,006,000,000,000,000,0,000,000,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,2,2,2,2,02,969
01,045,1,7,03,003,0001,3388,030118,02,111111,2,4,5,6,1,3,0,0,0,018,007,000,028,003,000,0,000,000,000,00,00,00,00,,,,1,08,00,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,4,02,3977
01,022,2,7,03,003,0001,3388,030118,03,111111,6,4,3,2,5,1,0,0,0,002,002,000,007,002,000,1,002,002,000,00,00,00,00,,,,1,01,03,1,1,005,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,3,3,3,2,2,01,969
01,019,2,7,03,003,0001,3388,030118,04,111111,6,5,4,1,3,2,0,0,0,003,001,000,000,000,000,4,004,003,001,00,00,00,00,,,,1,01,11,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,3,2,3,2,05,969
01,038,2,7,03,003,0001,3388,030118,05,111111,2,3,4,6,1,5,0,0,0,028,010,000,024,005,000,1,002,002,000,02,02,02,00,tv notas,tv novelas,,2,,,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,3,4,3,2,4,02,969
