"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","SABECONACY,C,1","TELE,C,1","RADIO,C,1","PEROREV,C,1","LIBROS,C,1","INTERNET,C,1","OTROS,C,1","NOSABECONA,C,1","PUREVCIETE,C,1","DIFACTCYTM,C,1","FINEMPDEST,C,1","APOPROYCUL,C,1","BECAPOSG,C,1","INVEST,C,1","FININVUNI,C,1","CONSESC,C,1","OTRAS,C,1","TEXTO,C,30","OPNCONA,C,1","BECPOSNAC,C,1","BECPOSEXT,C,1","BECESTTEC,C,1","INCINVDES,C,1","FONMIX,C,1","FONSEC,C,1","FONINS,C,1","PROAVA,C,1","SISNACINV,C,1","REDCON,C,1","COOPINST,C,1","REGNACCIEN,C,1","SISINFCIET,C,1","INFEDOCIET,C,1","APOYINV,C,1","SISNACINV2,C,1","BECPOS,C,1","APODESTEC,C,1","PROGRETREP,C,1","PRIOCONA,C,1","RELCONCIEN,C,1","POLACTCONA,C,1","OBSERVACIO,C,254","NUMREN,C,2","FACPER,N,10,0"
01,019,1,C,03,003,0001,3373,030082,05,111111,1,1,0,0,0,0,0,1,2,1,3,1,1,1,2,2,2,,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,3,2,1,3,2,1,,03,1668
01,024,2,C,03,003,0001,3481,030087,01,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,165
01,036,2,C,03,003,0001,3481,030087,02,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,165
01,063,1,C,03,003,0001,3481,030087,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,372
01,046,1,C,03,003,0001,3481,030087,04,111111,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,2,1,,01,372
01,034,2,C,03,003,0001,3481,030087,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,165
01,043,2,C,03,003,0001,3208,030088,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,974
01,021,2,C,03,003,0001,3208,030088,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,974
01,018,2,C,03,003,0001,3208,030088,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,974
01,020,2,C,03,003,0001,3208,030088,04,111111,1,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,974
01,020,1,C,03,003,0001,3208,030088,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,4000
01,029,2,C,03,003,0001,2017,030097,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1252
01,021,1,C,03,003,0001,2017,030097,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1124
01,076,2,C,03,003,0001,2017,030097,04,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,1252
01,031,2,C,03,003,0001,2017,030097,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1252
01,046,2,C,03,003,0001,1926,030109,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,878
01,018,1,C,03,003,0001,1926,030109,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07,3606
01,038,1,C,03,003,0001,1926,030109,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,3606
01,025,1,C,03,003,0001,1926,030109,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,3606
01,060,1,C,03,003,0001,1926,030109,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,3606
01,047,2,C,03,003,0001,2267,030117,01,111111,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,4,5,3,1,,01,1103
01,018,1,C,03,003,0001,2267,030117,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,990
01,067,2,C,03,003,0001,2267,030117,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1103
