"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","JUEZ,C,2","MEDICO,C,2","ABOGADO,C,2","INVESTIGA,C,2","HOMBRENG,C,2","PERIODI,C,2","BANQUERO,C,2","INGENIE,C,2","ARQUITE,C,2","PROFESOR,C,2","DEPORT,C,2","ARTISTA,C,2","PEREVYPER,C,1","PETVYRAD,C,1","PALITICOS,C,1","INC,C,1","CIENTRAUNI,C,1","CIENTRACEN,C,1","ASOCPAM,C,1","EMPRESA,C,1","MILITARES,C,1","LIDREL,C,1","GOBIERNO,C,1","MADICOS,C,1","ESCEINV,C,1","BIOLOGIA,C,1","ASTRONOM,C,1","HISTORIA,C,1","FISICA,C,1","HOMEOPA,C,1","HOROSCOPOS,C,1","ECONOMIA,C,1","MEDICINA,C,1","PSICOLOGIA,C,1","MATEMA,C,1","PARAPSI,C,1","CIIMANEG,C,1","CLMCNOAT,C,1","TECIDIFI,C,1","EXPLYSNOAT,C,1","POCOINTJOV,C,1","OTRA,C,1","NINGUNA,C,1","NOSABE,C,1","ESPE_C166,C,50","LLAVE,C,23","NUMREN,C,2"
7,28,038,0001,1033,280581,05,1,1,08,09,08,08,07,07,07,05,06,10,09,07,2,2,3,4,4,4,4,4,2,3,3,1,4,1,5,1,1,5,4,1,1,1,1,1,0,0,0,0,0,0,0,1,,28038000110332805810511,01
7,28,038,0001,1122,280719,01,1,1,09,10,08,11,09,10,10,09,09,07,09,10,2,2,3,1,4,4,2,1,2,2,3,1,4,1,3,3,1,5,4,1,1,2,1,5,0,0,1,2,3,0,0,0,,28038000111222807190111,05
7,28,038,0001,1122,280719,03,1,1,08,09,07,11,07,09,07,06,07,09,11,07,4,2,3,4,4,4,2,3,1,1,2,1,4,1,5,1,4,5,4,1,1,1,1,5,0,0,0,0,0,1,0,0,NO SABE YA QUE NO ESTUDIO,28038000111222807190311,02
7,28,038,0001,1122,280719,05,1,1,05,10,05,11,08,09,07,08,09,06,09,08,1,2,1,2,4,4,2,2,2,2,2,2,4,1,3,1,3,5,1,1,1,1,1,5,0,0,0,0,0,1,0,0,NO SE COMO NUNCA ESTUDIE,28038000111222807190511,01
7,28,038,0001,1315,280707,01,1,1,08,09,07,08,07,06,05,04,06,03,05,03,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,4,2,2,4,3,2,4,2,4,0,2,0,1,3,0,0,0,,28038000113152807070111,02
7,28,038,0001,1315,280707,02,1,1,08,09,09,08,09,10,10,09,10,09,08,08,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,5,4,4,2,4,2,2,0,3,1,0,2,0,0,0,,28038000113152807070211,02
7,28,038,0001,1315,280707,03,1,1,03,03,03,06,04,05,06,04,03,05,02,01,2,2,3,1,2,2,2,3,3,3,3,2,3,2,2,3,2,2,3,3,2,3,3,4,0,1,0,2,3,0,0,0,,28038000113152807070311,02
7,28,038,0001,1315,280707,04,1,1,07,10,08,07,09,07,06,08,09,10,07,06,2,2,3,1,3,3,1,1,1,1,3,1,3,1,1,4,1,5,4,2,1,1,1,5,0,2,0,1,3,0,0,0,,28038000113152807070411,01
7,28,038,0001,1315,280707,05,1,1,10,09,10,09,09,09,09,09,09,06,03,07,3,3,3,3,2,2,2,1,1,2,1,3,3,1,3,4,1,2,4,3,1,3,1,3,0,0,1,3,2,0,0,0,,28038000113152807070511,01
7,29,005,0001,001A,290233,01,1,1,07,09,06,10,08,06,07,08,08,08,09,08,2,2,3,2,1,1,1,2,2,2,3,2,2,2,2,3,1,3,4,3,1,3,2,3,0,1,0,2,3,0,0,0,,290050001001A2902330111,01
