"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCYUNI,C,1","TODASIMP,C,1","INGESIMP,C,1","NOSABE,C,1","HRSTVSEM,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","LEEPERI,C,1","LEEART,C,3","ARTNOTI,C,3","ARTCYT,C,3","LEEREVI,C,2","ARTIREVI,C,3","ARTCNOTI,C,3","ARTCYTEC,C,3","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","ESPE,C,30","CINTERN,C,1","ACCINTER,C,1","HORASEM,C,2","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLIN,C,1","EMAIL,C,1","MEDICINA,C,1","OTROS,C,1","MUSDARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSDCYT,C,1","PLANETA,C,1","EXPOCYT,C,1","SEMNACYT,C,1","APRENDER,C,2","ESINTE,C,2","ACOMALGUN,C,2","ESDIVERT,C,2","CASUALIDAD,C,2","GUSTO,C,2","POREXH,C,2","NADAQH,C,2","CERCADCA,C,2","OTRA,C,2","ESPECI,C,15","FALDTIM,C,1","ESTALEJOS,C,1","PRECDENTRA,C,1","NOSEUB,C,1","NOHAYINT,C,1","MUSCOMP,C,1","NOESTAPLA,C,1","OTRAS,C,1","ESPECIF,C,15","MUCHPCYT,C,1","DESCYTNE,C,1","POCOCIP,C,1","PRECYTENTV,C,1","MDCLEO,C,1","LLAVE,C,23","NUMREN,C,2"
6,28,009,0001,0368,280787,02,1,1,0,0,0,0,0,0,1,0,0,006,002,001,000,000,000,1,004,002,001,00,000,000,000,,,,1, 2, 0,,1,1,03,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,1,2,1,3,4,28009000103682807870211,02
6,28,009,0001,0368,280787,03,1,1,3,6,5,4,2,1,0,0,0,014,007,000,000,000,000,0,000,000,000,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,1,3,2,4,5,28009000103682807870311,02
6,28,009,0001,0368,280787,04,1,2,5,4,1,3,2,6,0,0,0,028,014,000,000,000,000,2,,,,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,7,0,,3,3,2,1,2,28009000103682807870412,02
6,28,009,0001,0368,280787,04,2,2,4,3,5,2,6,1,0,0,0,000,000,000,000,000,000,0,000,000,000,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,3,2,4,4,2,28009000103682807870422,01
6,28,009,0001,0368,280787,05,1,1,6,3,1,4,2,5,0,0,0,008,002,000,015,006,000,3,010,004,001,00,000,000,000,,,,1, 1, 0,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,5,2,2,3,2,28009000103682807870511,02
6,28,009,0001,0461,280735,01,1,1,2,3,1,5,6,4,0,0,0,020,010,002,000,000,000,7,020,015,004,03,006,004,001,SELECCIONES,SALUD,,1, 1, 2,,1,1,04,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,2,3,3,28009000104612807350111,01
6,28,009,0001,0461,280735,02,1,1,2,5,3,6,1,4,0,0,0,012,006,002,000,000,000,7,020,015,001,00,000,000,000,,,,1, 1, 2,,1,1,40,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,3,2,3,3,28009000104612807350211,02
6,28,009,0001,0461,280735,03,1,1,6,4,5,1,3,2,0,0,0,006,001,003,003,001,000,7,020,020,000,01,015,011,004,QUO,MAGAZINE,,1, 1, 0,,1,1,18,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,00,02,00,00,00,00,00,00,00,00,,,,,,,,,,,2,3,3,2,3,28009000104612807350311,01
6,28,009,0001,0461,280735,04,1,1,5,6,4,3,2,1,0,0,0,009,004,005,001,000,000,3,040,020,010,01,040,020,020,MUY INTERESANTE,CONOZCA MAS,NATIONAL GEOGRAPHIC,1, 1, 2,,1,1,25,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,01,02,00,00,00,00,00,00,00,00,,,,,,,,,,,3,2,2,2,3,28009000104612807350411,01
6,28,009,0001,0461,280735,05,1,1,0,0,0,0,0,0,0,0,1,014,010,000,000,000,000,0,000,000,000,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,NO SABE LA EXIS,5,5,5,5,5,28009000104612807350511,03
6,28,009,0001,0527,280781,01,1,1,0,0,0,0,0,0,0,0,1,016,002,000,000,000,000,3,006,003,000,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,NO LE GUSTA,5,5,5,5,5,28009000105272807810111,02
6,28,009,0001,0527,280781,02,1,1,0,0,0,0,0,0,0,0,1,012,000,000,000,000,000,0,000,000,000,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,NO SABE,5,5,5,5,5,28009000105272807810211,01
6,28,009,0001,0527,280781,03,1,1,1,3,4,5,6,2,0,0,0,012,004,000,018,006,000,0,000,000,000,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,2,2,2,2,2,28009000105272807810311,02
6,28,009,0001,0527,280781,04,1,1,3,2,5,6,1,4,0,0,0,020,006,001,006,000,000,1,006,004,000,00,000,000,000,,,,2,,,,1,1,03,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,2,2,2,2,2,28009000105272807810411,03
6,28,009,0001,0527,280781,05,1,1,0,0,0,0,0,0,0,0,1,005,000,000,000,000,000,0,000,000,000,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,NO ENTIENDE,5,5,5,5,5,28009000105272807810511,01
6,28,009,0001,0635,280546,01,1,1,6,5,2,3,4,1,0,0,0,006,003,000,000,000,000,7,006,004,000,01,005,001,001,SELECCIONES,,,1, 1, 4,,1,1,08,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,2,3,2,2,3,28009000106352805460111,02
6,28,009,0001,0635,280546,02,1,1,6,5,3,1,2,4,0,0,0,014,004,000,003,003,000,2,010,009,001,04,020,018,002,SELECCIONES,BIENESTAR,,1, 1, 0,,1,1,04,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,01,02,00,00,00,00,00,00,00,00,,,,,,,,,,,3,3,2,3,3,28009000106352805460211,01
6,28,009,0001,0635,280546,03,1,1,5,3,2,6,1,4,0,0,0,011,005,000,999,999,999,2,010,010,000,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,5,5,2,2,2,28009000106352805460311,01
6,28,009,0001,0635,280546,04,1,1,4,3,2,5,1,6,0,0,0,028,009,003,000,000,000,7,015,009,004,04,006,002,002,SELECCIONES,ELECTRONICA,MUY INTERESANTE,1, 1, 2,,1,1,10,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,00,00,00,00,00,06,00,00,00,00,,,,,,,,,,,1,3,3,4,4,28009000106352805460411,03
6,28,009,0001,0635,280546,05,1,1,2,4,5,6,1,3,0,0,0,024,010,002,000,000,000,1,015,013,001,00,000,000,000,,,,1, 1, 2,,1,1,08,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,00,00,00,00,00,00,07,00,00,00,,,,,,,,,,,2,3,2,3,3,28009000106352805460511,02
6,28,009,0001,0705,280547,01,1,1,0,0,0,0,0,0,0,0,1,010,000,000,000,000,000,7,012,009,001,03,008,001,001,PROCESO (OCASIONES),REVISTAS DE SU PAIS,,2,,,,1,1,04,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,3,3,3,28009000107052805470111,03
6,28,009,0001,0705,280547,03,1,1,6,5,2,3,1,4,0,0,0,010,003,002,002,001,000,7,020,010,002,06,015,004,001,REVISTA DEL CONSUMIDOR,PROCESO,COCINA FACIL,1, 2, 0,,1,1,04,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,00,00,00,00,00,00,07,00,00,00,,,,,,,,,,,1,2,1,4,1,28009000107052805470311,02
6,28,009,0001,0705,280741,01,1,1,3,1,5,6,4,2,0,0,0,016,002,000,000,000,000,1,003,000,000,05,010,000,000,COCINA FACIL,TV NOTAS,,1, 2, 0,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,5,5,1,4,4,28009000107052807410111,01
6,28,009,0001,0705,280741,02,1,1,3,6,1,5,2,4,0,0,0,015,007,008,005,001,000,3,015,006,001,00,000,000,000,,,,1, 1, 2,,1,1,12,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,,,,,,,,,,,,0,0,0,0,0,0,7,0,,1,1,2,2,2,28009000107052807410211,02
6,28,009,0001,0705,280741,03,1,1,0,0,0,0,0,0,1,0,0,024,006,003,000,000,000,7,010,002,002,02,005,000,000,,,,1, 1, 2,,1,1,06,2,1,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,00,00,00,00,05,00,00,00,00,00,,,,,,,,,,,2,3,1,4,1,28009000107052807410311,03
