"PER,C,4","AGEB,C,4","CD,C,2","PRO_VIV,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S4P24_1,C,1","S4P24_2,C,1","S4P24_3,C,1","S4P24_4,C,1","S4P24_5,C,1","S4P24_6,C,1","S4P24_7,C,1","S4P24_8,C,1","S4P24_9,C,1","S4P24_10,C,1","S4P25_1,C,1","S4P25_2,C,1","S4P25_3,C,1","S4P25_4,C,1","S4P25_5,C,1","S4P25_6,C,1","S4P25_7,C,1","S4P26_1,C,1","S4P26_2,C,1","S4P26_3,C,1","S4P26_4,C,1","S4P26_5,C,1","S4P26_6,C,1","S4P26_7,C,1","S4P26_8,C,1","S4P26_9,C,1","S4P26_10,C,1","S4P26_11,C,1","S4P27_1,C,1","S4P27_2,C,1","S4P27_3,C,1","S4P27_4,C,1","S4P27_5,C,1","S4P28_1,C,1","S4P28_2,C,1","S4P28_3,C,1","S4P28_4,C,1","S4P28_5,C,1","S4P28_6,C,1","S4P29,C,1","S4P29_ES,C,50","S4P29_1,C,1","S4P29_1_ES,C,50","S4P29_2,C,1","S4P29_3,C,1","S4P29_4,C,1","S4P29_5,C,1","S4P29_6,C,1","S4P30_1,C,1","S4P30_2,C,1","S4P30_3,C,1","S4P30_4,C,1","S4P30_5,C,1","S4P30_6,C,1","S4P30_7,C,1","S4P30_8,C,1","S4P31_1,C,1","S4P31_2,C,1","S4P31_3,C,1","S4P32,C,1","S4P32_1,C,1","S4P32_2,C,1","S4P33_1,C,1","S4P33_2,C,1","S4P33_3,C,1","S4P33_4,C,1","S4P33_5,C,1","S4P33_6,C,1","S4P33_7,C,1","S4P34,C,1","S4P34_1,C,1","S4P35,C,1","S5P1,C,1","S5P2_1,C,1","S5P2_2,C,1","S5P2_3,C,1","S5P2_4,C,1","S5P2_5,C,1","S5P2_6,C,1","S5P3,C,1","S5P4_1,C,1","S5P4_2,C,1","S5P4_3,C,1","S5P4_4,C,1","S5P4_5,C,1","S5P4_6,C,1","S5P4_7,C,1","S5P4_8,C,1","S5P4_9,C,1","S5P4_ES,C,20","S5P5,C,1","S5P6_1,C,1","S5P6_2,C,1","S5P6_3,C,1","S5P6_4,C,1","S5P6_5,C,1","S5P6_6,C,1","S5P6_7,C,1","S5P6_8,C,1","S5P6_9,C,1","S5P6_10,C,1","S5P6_11,C,1","S5P6_12,C,1","S5P6_13,C,1","S5P6_14,C,1","S5P7,C,1","S5P8,C,1","S5P9,C,1","S5P10_1,C,1","S5P10_2,C,1","S5P10_3,C,1","S5P10_4,C,1","S5P10_5,C,1","S5P10_6,C,1","S5OBS,C,50","FAC,N,6,0"
0809,0604,14,0036,01,0013,2,1,01,2,2,3,3,2,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,1,,1,,3,2,,2,3,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,3,3,3,3,3,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9421
0809,0604,14,0064,01,0013,3,1,03,2,2,2,2,2,3,3,2,3,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,3,3,2,3,2,,1,,1,2,,2,3,3,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,3,3,3,3,3,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23695
0809,0604,14,0088,01,0013,4,1,01,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,2,2,3,2,2,3,3,2,2,3,2,3,2,4,2,3,3,4,2,2,3,1,,1,,3,2,,2,3,3,1,1,3,2,1,1,1,3,1,1,2,,,3,2,2,4,4,4,4,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404
0809,2206,14,0028,01,0151,2,1,02,2,2,2,2,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,3,3,2,3,2,3,3,1,,1,,3,2,,2,3,2,1,1,1,1,1,1,1,3,3,3,2,,,2,3,3,3,2,3,3,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12474
0809,2206,14,0051,01,0151,3,1,01,3,3,2,3,3,3,3,2,2,3,5,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,5,3,1,,1,,1,2,,2,3,3,3,3,1,1,3,1,2,3,1,4,2,,,2,2,3,3,3,3,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6002
0809,2206,14,0104,01,0151,5,1,02,2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,2,2,3,3,3,2,2,,2,,2,2,,2,1,1,1,2,1,1,2,1,1,3,3,3,1,2,1,3,3,3,3,3,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14323
0809,0407,14,0009,01,0201,1,1,01,2,3,2,2,2,3,2,2,3,3,1,2,1,2,2,2,2,1,1,1,1,1,1,3,1,3,2,1,3,1,2,3,2,2,2,3,3,2,2,2,,2,,2,1,4,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,3,2,2,3,2,3,1,2,3,1,1,0,0,0,1,0,1,1,1,1,2,1,1,1,2,2,,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,4,2,1,2,2,1,5,2,2,,6733
0809,0407,14,0049,01,0201,2,1,03,2,3,2,1,1,1,1,1,1,1,1,4,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,3,2,1,2,3,2,2,2,,2,,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,3,2,2,2,1,3,2,1,1,1,1,1,1,0,1,2,1,2,1,1,1,2,2,2,,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,4,2,1,2,2,2,2,2,1,,18137
0809,0407,14,0126,01,0201,4,1,03,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,5,2,2,3,2,2,2,2,3,2,2,2,,2,,1,2,,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,3,3,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18137
0809,0407,14,0154,01,0201,5,1,01,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,2,,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,3,3,2,2,2,,2,1,0,0,0,1,0,0,1,1,2,2,2,1,1,2,2,2,,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,4,2,1,2,2,2,2,2,2,,13877
