"R_DEF,C,2","PER,C,4","AGEB,C,4","CD,C,2","V_SEL,C,1","ENT,C,2","CON,C,4","PRO_VIV,C,4","N_HOG,C,1","N_REN,C,2","PAR,C,1","SEX,C,1","EDA,C,3","NAC_DIA,C,2","NAC_MES,C,2","NAC_ANIO,C,4","NIV,C,2","GRA,C,1","A_ESC,C,1","R_ELE,C,1","FAC,N,10,0","FAC18,N,10,0","ED_ENPECYT,C,1"
01,0809,0498,14,3,01,0276,0054,1,03,3,2,020,14,09,1988,07,2,3,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,04,3,2,019,04,06,1990,07,1,3,1,3576,19197,2
01,0809,0498,14,3,01,0276,0054,1,05,3,1,017,25,12,1991,04,1,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,06,3,2,014,01,05,1995,03,2,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,07,3,2,012,16,11,1996,02,5,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,08,3,2,007,08,01,2002,02,1,,,3576,0,2
01,0809,0498,14,3,01,0276,0054,1,09,3,1,006,09,07,2003,01,3,,,3576,0,2
01,0809,0498,14,4,01,0276,0076,1,01,1,1,022,12,12,1986,03,3,,1,3576,4478,2
01,0809,0498,14,5,01,0276,0099,1,01,1,1,071,02,04,1938,02,3,,,3576,0,2
01,0809,0498,14,5,01,0276,0099,1,02,2,2,066,01,07,1943,02,3,,,3576,0,2
01,0809,0498,14,5,01,0276,0099,1,03,3,2,029,05,05,1980,04,3,,,3576,0,2
01,0809,0498,14,5,01,0276,0099,1,04,3,2,024,09,07,1985,03,3,,1,3576,17910,2
01,0809,0500,14,1,01,0293,0002,1,01,1,2,065,08,01,1944,02,6,,1,5347,7223,3
01,0809,0500,14,1,01,0293,0002,2,01,1,1,056,06,12,1952,04,3,,,5347,0,3
01,0809,0500,14,1,01,0293,0002,2,02,2,2,052,04,03,1957,03,3,,1,5347,5700,3
01,0809,0500,14,1,01,0293,0002,2,03,3,1,017,04,02,1992,04,2,,,5347,0,3
01,0809,1744,14,2,01,0039,0037,1,01,1,2,065,22,05,1944,03,3,,1,4671,6047,2
01,0809,1744,14,3,01,0039,0064,1,01,1,2,069,30,04,1940,02,6,,,4671,0,2
01,0809,1744,14,3,01,0039,0064,1,02,4,1,065,05,08,1944,02,6,,1,4671,12094,2
01,0809,1744,14,4,01,0039,0090,1,01,1,2,052,01,09,1956,02,6,,,4671,0,2
01,0809,1744,14,4,01,0039,0090,1,02,3,1,020,28,06,1989,03,3,,1,4671,14429,2
01,0809,1744,14,4,01,0039,0090,1,03,3,2,025,27,05,1984,03,3,,,4671,0,2
01,0809,1744,14,4,01,0039,0090,1,04,4,1,005,13,05,2004,01,1,,,4671,0,2
01,0809,1744,14,4,01,0039,0090,1,05,4,1,002,27,01,2007,,,,,4671,0,2
01,0809,1744,14,5,01,0039,0113,1,01,1,1,021,07,09,1987,03,3,,,4671,0,2
01,0809,1744,14,5,01,0039,0113,1,02,2,2,021,15,01,1988,04,3,,1,4671,9619,2
01,0809,1744,14,5,01,0039,0113,1,03,3,1,000,05,02,2009,,,,,4671,0,2
01,0809,2795,14,1,01,0047,0009,1,01,1,1,047,31,10,1961,02,6,,1,6261,11130,2
01,0809,2795,14,1,01,0047,0009,1,02,2,2,048,11,10,1960,02,6,,,6261,0,2
01,0809,2795,14,1,01,0047,0009,1,03,3,1,015,01,10,1993,03,3,,,6261,0,2
01,0809,2795,14,1,01,0047,0009,1,04,3,2,009,01,02,2000,02,3,,,6261,0,2
01,0809,2795,14,2,01,0047,0037,1,01,1,1,032,05,11,1976,02,3,,,6261,0,2
01,0809,2795,14,2,01,0047,0037,1,02,2,2,026,29,04,1983,03,3,,1,6261,13247,2
01,0809,2795,14,2,01,0047,0037,1,03,3,1,002,25,10,2006,,,,,6261,0,2
01,0809,2795,14,3,01,0047,0073,1,01,1,2,034,16,10,1974,02,1,,,6261,0,2
01,0809,2795,14,3,01,0047,0073,1,02,2,1,028,27,05,1981,02,3,,1,6261,19870,2
01,0809,2795,14,3,01,0047,0073,1,03,3,1,004,20,08,2004,,,,,6261,0,2
01,0809,2795,14,3,01,0047,0073,1,04,4,1,056,18,08,1952,02,3,,,6261,0,2
01,0809,2795,14,4,01,0047,0108,1,01,1,1,023,15,04,1986,03,3,,1,6261,10140,2
01,0809,2795,14,4,01,0047,0108,1,02,2,2,022,20,01,1987,03,3,,,6261,0,2
01,0809,2795,14,4,01,0047,0108,1,03,3,1,004,21,10,2004,,,,,6261,0,2
01,0809,2719,14,1,01,0074,0003,1,01,1,2,050,25,01,1959,02,5,,,4266,0,3
01,0809,2719,14,1,01,0074,0003,1,02,3,2,022,13,03,1987,04,3,,1,4266,9606,3
01,0809,2719,14,3,01,0074,0068,1,01,1,2,043,04,08,1966,06,2,2,1,4266,9195,3
01,0809,2719,14,3,01,0074,0068,1,02,4,2,089,23,03,1920,02,2,,,4266,0,3
01,0809,2719,14,3,01,0074,0068,1,03,3,2,017,09,09,1991,03,3,,,4266,0,3
01,0809,2719,14,3,01,0074,0068,1,04,3,1,002,13,11,2006,,,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,01,1,1,044,24,04,1965,04,3,,1,4266,9195,3
01,0809,2719,14,4,01,0074,0097,1,02,2,2,044,15,01,1965,04,3,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,03,3,1,017,02,06,1992,04,2,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,04,3,2,013,26,01,1996,03,1,,,4266,0,3
01,0809,2719,14,4,01,0074,0097,1,05,3,1,010,18,06,1999,02,4,,,4266,0,3
01,0809,2719,14,5,01,0074,0127,1,01,1,2,042,28,06,1967,06,3,1,1,4266,13793,3
01,0809,2719,14,5,01,0074,0127,1,02,3,1,012,04,09,1996,02,5,,,4266,0,3
01,0809,2719,14,5,01,0074,0127,1,03,3,2,014,20,10,1994,03,3,,,4266,0,3
01,0809,2719,14,5,01,0074,0127,1,04,3,1,019,29,03,1990,07,1,3,,4266,0,3
01,0809,2719,14,5,01,0074,0127,1,05,4,2,072,08,06,1937,02,6,,,4266,0,3
01,0809,1299,14,1,01,0122,0157,1,01,1,1,035,24,08,1973,07,4,3,,4861,0,4
01,0809,1299,14,1,01,0122,0157,1,02,2,2,034,30,09,1974,09,2,4,1,4861,13482,4
01,0809,1299,14,4,01,0122,0349,1,01,1,1,050,09,03,1959,07,4,3,1,4861,15478,4
01,0809,1299,14,4,01,0122,0349,1,02,2,2,048,18,08,1960,07,4,3,,4861,0,4
01,0809,1299,14,4,01,0122,0349,1,03,3,1,020,19,08,1988,07,3,3,,4861,0,4
01,0809,1299,14,4,01,0122,0349,1,04,3,2,017,10,03,1992,04,2,,,4861,0,4
01,0809,1299,14,4,01,0122,0349,1,05,3,2,008,12,10,2000,02,3,,,4861,0,4
01,0809,2206,14,1,01,0151,0007,1,01,1,1,046,16,09,1962,02,6,,,5370,0,2
01,0809,2206,14,1,01,0151,0007,1,02,2,2,040,04,10,1968,02,6,,,5370,0,2
01,0809,2206,14,1,01,0151,0007,1,03,3,2,019,24,01,1990,03,2,,,5370,0,2
01,0809,2206,14,1,01,0151,0007,1,04,3,1,018,07,02,1991,04,3,,1,5370,20469,2
01,0809,2206,14,1,01,0151,0007,1,05,3,1,016,09,10,1992,03,2,,,5370,0,2
01,0809,2206,14,1,01,0151,0007,1,06,4,2,003,24,07,2006,,,,,5370,0,2
01,0809,3083,14,1,01,0163,0010,1,01,1,1,083,26,07,1926,02,3,,1,5325,5307,3
01,0809,3083,14,2,01,0163,0027,1,01,1,1,028,25,01,1981,07,4,3,,5325,0,3
01,0809,3083,14,2,01,0163,0027,1,02,2,2,024,05,04,1985,07,2,3,1,5325,9309,3
01,0809,3083,14,2,01,0163,0027,1,03,3,1,002,06,01,2007,,,,,5325,0,3
01,0809,3083,14,3,01,0163,0037,1,01,1,1,034,16,10,1974,04,1,,,5325,0,3
01,0809,3083,14,3,01,0163,0037,1,02,2,2,032,24,02,1977,03,3,,,5325,0,3
01,0809,3083,14,3,01,0163,0037,1,03,4,2,064,04,04,1945,02,4,,1,5325,16473,3
01,0809,3083,14,3,01,0163,0037,1,04,3,2,009,16,11,1999,02,4,,,5325,0,3
01,0809,3083,14,3,01,0163,0037,1,05,3,2,005,21,08,2003,01,3,,,5325,0,3
01,0809,3083,14,3,01,0163,0037,1,06,3,1,001,14,06,2008,,,,,5325,0,3
01,0809,3083,14,4,01,0163,0053,1,01,1,2,042,29,04,1967,06,3,2,1,5325,8912,3
01,0809,3083,14,4,01,0163,0053,1,02,2,1,050,16,10,1958,09,2,4,,5325,0,3
01,0809,3083,14,4,01,0163,0053,1,03,3,1,016,08,05,1993,04,1,,,5325,0,3
01,0809,3083,14,4,01,0163,0053,1,04,3,1,012,08,05,1997,02,2,,,5325,0,3
01,0809,3083,14,4,01,0163,0053,1,05,3,1,008,15,07,2001,02,2,,,5325,0,3
01,0809,3083,14,5,01,0163,0063,1,01,1,1,041,20,12,1967,09,2,4,,5325,0,3
01,0809,3083,14,5,01,0163,0063,1,02,2,2,045,31,07,1964,07,4,3,1,5325,9253,3
01,0809,3083,14,5,01,0163,0063,1,03,3,1,011,12,03,1998,02,5,,,5325,0,3
01,0809,3083,14,5,01,0163,0063,1,04,3,1,015,03,12,1993,04,1,,,5325,0,3
01,0809,3223,14,1,01,0193,0003,1,01,1,1,050,11,09,1958,03,3,,,7429,0,2
01,0809,3223,14,1,01,0193,0003,1,02,2,2,049,05,07,1960,03,3,,,7429,0,2
01,0809,3223,14,1,01,0193,0003,1,03,3,1,027,18,09,1981,03,3,,,7429,0,2
01,0809,3223,14,1,01,0193,0003,1,04,3,1,019,06,07,1990,03,3,,1,7429,22429,2
01,0809,3223,14,1,01,0193,0003,1,05,3,1,014,02,03,1995,03,2,,,7429,0,2
01,0809,3223,14,1,01,0193,0003,1,06,4,2,006,10,12,2002,01,3,,,7429,0,2
01,0809,3223,14,2,01,0193,0028,1,01,1,1,036,19,04,1973,03,3,,1,7429,17171,2
01,0809,3223,14,2,01,0193,0028,1,02,2,2,036,23,09,1972,02,6,,,7429,0,2
01,0809,3223,14,2,01,0193,0028,1,03,4,1,019,08,11,1989,03,3,,,7429,0,2
01,0809,3223,14,2,01,0193,0028,1,04,3,1,007,03,12,2001,02,2,,,7429,0,2
01,0809,3223,14,2,01,0193,0028,1,05,3,1,004,16,03,2005,,,,,7429,0,2
01,0809,3223,14,2,01,0193,0028,1,06,3,2,002,07,10,2006,,,,,7429,0,2
01,0809,3223,14,5,01,0193,0065,1,01,1,1,043,21,08,1965,04,3,,,7429,0,2
01,0809,3223,14,5,01,0193,0065,1,02,2,2,030,30,10,1978,04,3,,,7429,0,2
01,0809,3223,14,5,01,0193,0065,1,03,3,2,004,30,07,2005,,,,,7429,0,2
01,0809,3223,14,5,01,0193,0065,1,04,4,2,029,18,09,1979,07,1,3,,7429,0,2
01,0809,3223,14,5,01,0193,0065,1,05,4,1,070,04,12,1938,02,3,,,7429,0,2
01,0809,3223,14,5,01,0193,0065,1,06,4,2,063,12,02,1946,02,3,,1,7429,30987,2
01,0809,2719,14,3,01,0196,0074,1,01,1,2,046,12,10,1962,04,3,,,5163,0,3
01,0809,2719,14,3,01,0196,0074,1,02,3,1,018,02,05,1991,04,3,,1,5163,10943,3
01,0809,2719,14,3,01,0196,0074,1,03,3,1,016,17,10,1992,04,2,,,5163,0,3
01,0809,2719,14,3,01,0196,0074,1,04,3,1,015,13,05,1994,03,3,,,5163,0,3
01,0809,2719,14,3,01,0196,0074,1,05,3,2,013,14,04,1996,03,1,,,5163,0,3
01,0809,2719,14,3,01,0196,0074,1,06,3,2,012,23,04,1997,02,6,,,5163,0,3
01,0809,0407,14,3,01,0201,0084,1,01,1,2,052,04,07,1957,07,4,3,1,5737,10621,4
01,0809,0407,14,3,01,0201,0084,1,02,3,1,028,15,02,1981,07,4,3,,5737,0,4
01,0809,0407,14,3,01,0201,0084,1,03,3,1,017,25,06,1992,04,1,,,5737,0,4
01,0809,2066,14,1,01,0205,0002,1,01,1,1,044,10,04,1965,03,3,,,5056,0,2
01,0809,2066,14,1,01,0205,0002,1,02,2,2,045,09,06,1964,02,6,,1,5056,15917,2
01,0809,2066,14,1,01,0205,0002,1,03,3,2,020,01,06,1989,04,3,,,5056,0,2
01,0809,2066,14,1,01,0205,0002,1,04,3,2,016,15,02,1993,04,1,,,5056,0,2
01,0809,2066,14,5,01,0205,0139,1,01,1,1,049,02,03,1960,02,6,,1,5056,15917,2
01,0809,2066,14,5,01,0205,0139,1,02,2,2,054,18,01,1955,02,6,,,5056,0,2
01,0809,2066,14,5,01,0205,0139,1,03,3,2,023,22,12,1985,04,3,,,5056,0,2
01,0809,2583,14,1,01,0270,0023,1,01,1,2,039,25,04,1970,07,2,3,1,3041,4168,3
01,0809,2583,14,1,01,0270,0023,1,02,3,1,011,12,07,1998,02,5,,,3041,0,3
01,0809,2583,14,1,01,0270,0023,1,03,3,1,005,19,05,2004,01,2,,,3041,0,3
01,0809,2583,14,3,01,0270,0076,1,01,1,1,022,16,06,1987,06,3,2,,3041,0,3
01,0809,2583,14,3,01,0270,0076,1,02,2,2,021,22,06,1988,04,3,,1,3041,8774,3
01,0809,2583,14,3,01,0270,0076,1,03,3,1,001,29,09,2007,,,,,3041,0,3
01,0809,2583,14,4,01,0270,0105,1,01,1,1,047,21,04,1962,02,6,,,3041,0,3
01,0809,2583,14,4,01,0270,0105,1,02,2,2,044,14,08,1964,02,6,,,3041,0,3
01,0809,2583,14,4,01,0270,0105,1,03,3,2,023,23,07,1986,04,3,,1,3041,21934,3
01,0809,2583,14,4,01,0270,0105,1,04,3,1,019,25,05,1990,03,3,,,3041,0,3
01,0809,2583,14,4,01,0270,0105,1,05,3,1,013,30,11,1995,02,4,,,3041,0,3
01,0809,2583,14,4,01,0270,0105,1,06,3,2,021,29,06,1988,04,3,,,3041,0,3
01,0809,2583,14,5,01,0270,0128,1,01,1,1,039,07,07,1970,07,4,3,1,3041,8335,3
01,0809,2583,14,5,01,0270,0128,1,02,2,2,037,23,08,1971,03,3,,,3041,0,3
01,0809,2583,14,5,01,0270,0128,1,03,3,1,011,15,08,1997,02,5,,,3041,0,3
01,0809,0498,14,2,01,0276,0033,1,01,1,1,038,07,09,1970,04,2,,,3576,0,2
01,0809,0498,14,2,01,0276,0033,1,02,2,2,039,28,07,1970,07,4,3,1,3576,9798,2
01,0809,0498,14,2,01,0276,0033,1,03,3,2,008,13,02,2001,02,1,,,3576,0,2
01,0809,0498,14,2,01,0276,0033,1,04,3,2,003,20,04,2006,,,,,3576,0,2
01,0809,0500,14,2,01,0293,0036,1,01,1,2,078,30,11,1930,02,4,,,5347,0,3
01,0809,0500,14,2,01,0293,0036,1,02,3,1,039,06,05,1970,03,3,,1,5347,8025,3
01,0809,159A,14,1,01,0300,0025,1,01,1,1,061,29,09,1947,03,3,,,5701,0,4
01,0809,159A,14,1,01,0300,0025,1,02,2,2,061,05,12,1947,04,3,,1,5701,13261,4
01,0809,159A,14,2,01,0300,0085,1,01,1,1,045,10,08,1964,07,5,3,,5701,0,4
01,0809,159A,14,2,01,0300,0085,1,02,2,2,043,29,10,1965,07,5,3,1,5701,11047,4
01,0809,159A,14,2,01,0300,0085,1,03,3,1,009,31,01,2000,02,3,,,5701,0,4
01,0809,159A,14,3,01,0300,0139,1,01,1,1,052,05,06,1957,07,4,3,,5701,0,4
01,0809,159A,14,3,01,0300,0139,1,02,2,2,047,29,08,1961,07,4,3,,5701,0,4
01,0809,159A,14,3,01,0300,0139,1,03,3,1,022,06,08,1987,07,4,3,1,5701,23814,4
01,0809,159A,14,3,01,0300,0139,1,04,3,1,018,12,08,1990,07,1,3,,5701,0,4
01,0809,159A,14,3,01,0300,0139,1,05,3,2,016,10,08,1993,04,1,,,5701,0,4
01,0809,159A,14,4,01,0300,0193,1,01,1,1,041,26,10,1967,07,5,3,1,5701,11047,4
01,0809,159A,14,4,01,0300,0193,1,02,2,2,037,03,10,1971,04,3,,,5701,0,4
01,0809,159A,14,4,01,0300,0193,1,03,3,2,016,19,04,1993,04,1,,,5701,0,4
01,0809,159A,14,4,01,0300,0193,1,04,3,2,013,02,10,1995,03,2,,,5701,0,4
01,0809,159A,14,4,01,0300,0193,1,05,3,1,005,23,03,2004,01,2,,,5701,0,4
01,0809,2795,14,4,01,0047,0108,2,01,1,2,071,26,12,1937,02,1,,1,6261,12748,2
01,0809,2795,14,4,01,0047,0108,2,02,3,1,031,25,12,1977,04,1,,,6261,0,2
01,0809,3223,14,4,01,0193,0058,2,01,1,1,025,29,09,1983,03,3,,1,7429,17086,2
01,0809,3223,14,4,01,0193,0058,2,02,2,2,023,17,08,1985,03,3,,,7429,0,2
01,0809,3223,14,4,01,0193,0058,2,03,3,1,003,05,05,2006,,,,,7429,0,2
01,0809,3223,14,4,01,0193,0058,2,04,3,1,001,02,05,2008,,,,,7429,0,2
01,0809,0604,14,1,01,0013,0008,1,01,1,2,081,02,05,1928,02,2,,,4368,0,3
01,0809,0604,14,1,01,0013,0008,1,02,3,2,055,27,11,1953,03,3,,,4368,0,3
01,0809,0604,14,1,01,0013,0008,1,03,3,2,048,16,04,1961,06,4,2,1,4368,14132,3
01,0809,0604,14,5,01,0013,0113,1,01,1,1,046,12,09,1962,03,3,,,4368,0,3
01,0809,0604,14,5,01,0013,0113,1,02,2,2,035,21,06,1974,04,2,,1,4368,9005,3
01,0809,0604,14,5,01,0013,0113,1,03,3,1,010,25,11,1998,02,5,,,4368,0,3
01,0809,0604,14,5,01,0013,0113,1,04,3,2,008,11,01,2001,02,2,,,4368,0,3
01,0809,0604,14,5,01,0013,0113,1,05,3,2,006,15,01,2003,02,1,,,4368,0,3
