"PER,C,4","AGEB,C,4","CD,C,2","PRO_VIV,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,C,2","S3P1_2,C,1","S3P2,C,4","S3P2_ES,C,50","S3P3,C,1","S3P4_1,C,1","S3P4_2,C,1","S3P4_3,C,1","S3P4_4,C,1","S3P5,C,1","S3P6,C,2","S3P7,C,1","S3P7_1_1,C,1","S3P7_1_2,C,1","S3P7_2_1,C,1","S3P7_2_2,C,1","S3P8,C,1","S3P9,C,1","S3P10,C,1","S3P11_ES,C,100","S3P12_C,C,4","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,C,4","S3P14_ES,C,100","S3P15,C,1","S4P1_1,C,1","S4P1_2,C,1","S4P1_3,C,1","S4P1_4,C,1","S4P1_5,C,1","S4P1_6,C,1","S4P1_7,C,1","S4P1_1_1,C,1","S4P1_1_2,C,1","S4P1_1_3,C,1","S4P1_1_4,C,1","S4P1_1_5,C,1","S4P1_1_6,C,1","S4P1_1_7,C,1","S4P1_1_ES,C,50","S4P1_2_1,C,1","S4P1_2_2,C,1","S4P1_2_3,C,1","S4P1_2_4,C,1","S4P1_2_5,C,1","S4P1_2_6,C,1","S4P1_2_7,C,1","S4P1_2_8,C,1","S4P1_2_9,C,1","S4P1_2_10,C,1","S4P1_2_11,C,1","S4P1_2_ES,C,50","S4P2_1,C,1","S4P2_2,C,1","S4P2_3,C,1","S4P2_4,C,1","S4P2_5,C,1","S4P2_6,C,1","S4P2_7,C,1","S4P3_1,C,1","S4P3_2,C,1","S4P3_3,C,1","S4P3_4,C,1","S4P3_5,C,1","S4P3_6,C,1","S4P3_7,C,1","S4P3_8,C,1","S4P3_9,C,1","S4P4,C,3","S4P4_1,C,3","S4P4_2,C,3","S4P5,C,3","S4P5_1,C,3","S4P5_2,C,3","S4P6,C,1","S4P6_1,C,2","S4P6_2,C,2","S4P6_3,C,2","S4P7,C,2","S4P7_1,C,2","S4P7_2,C,2","S4P7_3,C,2","S4P7_R1,C,50","S4P7_R2,C,50","S4P7_R3,C,50","S4P8,C,1","S4P8_1_1,C,2","S4P8_1_2,C,2","S4P8_1_ES,C,50","S4P9,C,1","S4P10,C,1","S4P10_1,C,2","S4P11_1,C,1","S4P11_2,C,1","S4P11_3,C,1","S4P11_4,C,1","S4P11_5,C,1","S4P11_6,C,1","S4P11_7,C,1","S4P11_8,C,1","S4P11_9,C,1","S4P11_10,C,1","S4P11_11,C,1","S4P11_12,C,1","S4P11_13,C,1","S4P11_14,C,1","S4P11_15,C,1","S4P11_16,C,1","S4P11_ES,C,50","S4P12_1,C,1","S4P12_2,C,1","S4P12_3,C,1","S4P12_4,C,1","S4P12_5,C,1","S4P12_6,C,1","S4P12_7,C,1","S4P12_1_1,C,1","S4P12_1_2,C,1","S4P12_1_3,C,1","S4P12_1_4,C,1","S4P12_1_5,C,1","S4P12_1_6,C,1","S4P12_1_7,C,1","S4P12_1_8,C,1","S4P12_1_9,C,1","S4P12_1_10,C,1","S4P12_1_ES,C,50","S4P12_2_1,C,1","S4P12_2_2,C,1","S4P12_2_3,C,1","S4P12_2_4,C,1","S4P12_2_5,C,1","S4P12_2_6,C,1","S4P12_2_7,C,1","S4P12_2_8,C,1","S4P12_2_ES,C,50","S4P13_1,C,1","S4P13_2,C,1","S4P13_3,C,1","S4P13_4,C,1","S4P13_5,C,1","S4P13_6,C,1","S4P14_1,C,2","S4P14_2,C,2","S4P14_3,C,2","S4P14_4,C,2","S4P14_5,C,2","S4P14_6,C,2","S4P14_7,C,2","S4P14_8,C,2","S4P14_9,C,2","S4P14_10,C,2","S4P14_11,C,2","S4P14_12,C,2","S4P15_1,C,1","S4P15_2,C,1","S4P15_3,C,1","S4P15_4,C,1","S4P15_5,C,1","S4P15_6,C,1","S4P15_7,C,1","S4P15_8,C,1","S4P15_9,C,1","S4P15_10,C,1","S4P15_11,C,1","S4P15_12,C,1","S4P15_13,C,1","S4P15_14,C,1","S4P16_1,C,1","S4P16_2,C,1","S4P16_3,C,1","S4P16_4,C,1","S4P16_5,C,1","S4P16_6,C,1","S4P16_7,C,1","S4P16_8,C,1","S4P16_9,C,1","S4P16_10,C,1","S4P16_11,C,1","S4P16_12,C,1","S4P17_1,C,1","S4P17_2,C,1","S4P17_3,C,1","S4P17_4,C,1","S4P17_5,C,1","S4P17_ES,C,50","S4P17_6,C,1","S4P17_7,C,1","S4P18_1,C,1","S4P18_2,C,1","S4P18_3,C,1","S4P18_4,C,1","S4P18_5,C,1","S4P18_6,C,1","S4P18_7,C,1","S4P18_8,C,1","S4P18_9,C,1","S4P18_10,C,1","S4P19_1,C,1","S4P19_2,C,1","S4P19_3,C,1","S4P19_4,C,1","S4P19_5,C,1","S4P19_6,C,1","S4P19_7,C,1","S4P19_8,C,1","S4P19_9,C,1","S4P19_10,C,1","S4P19_11,C,1","S4P19_12,C,1","S4P19_13,C,1","S4P19_14,C,1","S4P19_15,C,1","S4P19_16,C,1","S4P19_17,C,1","S4P19_18,C,1","S4P19_19,C,1","S4P19_20,C,1","S4P20,C,1","S4P21,C,1","S4P22_1,C,1","S4P22_2,C,1","S4P23_1,C,1","S4P23_2,C,1","S4P23_3,C,1","S4P23_4,C,1","S4P23_5,C,1","S4P23_6,C,1","S4P23_7,C,1","S4P23_8,C,1","S4P23_9,C,1","S4P23_10,C,1","S4P23_11,C,1","FAC,N,6,0"
0809,0773,01,0095,09,0736,4,1,01,09,4,5910,MAESTRIA EN ECONOMIA,4,2,2,2,1,1,32,1,1,2,,,1,,1,SUPERVISA LAS DIFERENTES AREAS DE PROCESOS DE CERTIFICACION DE CALIDAD,2125,SUBDIRECTOR UNIVERSIDAD TECNOLOGICA DE TECAMAC,UNIVERSIDAD TECNOLOGICA DE TECAMAC,6121,PROPORCIONAR EDUCACION DE NIVEL SUPERIOR A LA POBLACION,2,1,3,2,2,2,3,1,,,,,,,,,1,1,0,1,1,0,1,0,1,0,0,,1,3,2,3,3,1,1,5,3,1,2,6,4,,,,010,005,001,003,001,000,7,20,14,03,00,,,,,,,1,01,02,,1,1,10,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,,1,1,1,2,1,2,2,,,,,,,,,,,,1,0,0,0,0,0,1,0,,3,3,2,3,2,3,07,08,06,09,09,07,03,05,07,07,07,07,3,3,3,2,2,2,2,3,3,4,3,2,2,2,2,1,3,1,2,2,4,2,2,1,2,1,,3,2,1,,,,,2,2,2,2,3,3,3,3,3,3,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,3,3,1,3,2,3,3,2,3,2,2,2,3,3,3,7098
0809,0219,01,0039,09,0914,1,1,01,07,5,3741,DERECHO,3,2,2,2,2,1,23,2,,,1,1,1,,1,EMITIR RESOLUCIONES DE IMPUGNACIONES EN MATERIA ELECTORAL,6102,JEFE DE DEPARTAMENTO,TRIBUNAL ELECTORAL DEL DISTRITO FEDERAL,9312,EMITIR RESOLUCIONES SOBRE IMPUGNACIONES EN MATERIA ELECTORAL EN EL DISTRITO FEDERAL,2,3,3,2,3,3,3,4,,,,,,,,,1,1,1,0,1,0,1,0,1,0,0,,3,3,2,2,2,3,3,6,5,2,3,4,1,,,,008,004,001,002,001,000,2,08,05,01,00,,,,,,,1,02,04,,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,3,2,2,1,2,2,08,10,08,10,08,07,07,09,08,09,07,07,3,3,4,3,2,2,2,3,3,4,4,2,2,2,2,2,2,1,2,2,3,1,2,2,3,4,,3,1,2,,,,,2,4,3,3,2,3,2,3,2,3,1,2,1,2,2,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,3,1,1,3,1,2,2,3,1,3,2,3,3,3,2,11838
0809,0219,01,0103,09,0914,2,1,01,04,3,,,,,,,,2,18,2,,,2,2,3,5,,,,,,,,,2,2,3,3,3,4,2,,,,,,,,,1,0,1,0,0,0,0,0,1,0,0,,2,2,3,4,3,3,2,6,3,2,1,5,4,,,,011,005,001,005,000,000,2,10,08,00,00,,,,,,,1,01,09,,1,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,1,1,0,0,0,,3,3,3,2,2,3,07,08,08,08,08,07,07,09,09,06,07,07,2,3,3,2,1,2,2,2,1,3,3,2,2,2,2,3,3,1,3,3,2,1,2,1,2,3,,2,1,3,,,,,3,2,3,3,3,3,4,5,3,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,3,1,1,3,2,2,2,3,2,5,3,3,3,4,3,5897
0809,0219,01,0152,09,0914,4,1,03,07,5,3741,DERECHO,3,2,2,2,2,1,23,2,,,2,2,1,,1,TRAMITES DE RECURSOS DE APELACION EN DERECHO FISCAL ADMINISTRATIVO,6102,SECRETARIA DE ACUERDOS,TRIBUNAL FEDERAL D JUSTICIA FISCAL Y ADMINISTRATIV,9312,APLICACION DE IMPUESTOS SOBRE NOMINA DE TRABAJADORES.IVA.RESPONSABILIDAD DE SERVIDORES PUBLICOS,2,4,3,3,3,2,3,3,,,,,,,,,1,1,1,0,1,0,1,1,0,0,0,,4,3,4,4,3,4,3,4,5,6,3,1,2,,,,018,007,001,000,,,3,10,10,00,00,,,,,,,1,01,02,,1,1,10,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,,1,1,1,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,2,2,2,3,09,07,09,08,10,10,10,10,08,05,05,08,2,2,3,4,1,1,2,4,4,4,4,4,2,2,1,1,3,1,5,4,2,1,3,1,4,3,,2,3,1,,,,,3,4,2,3,3,3,5,5,3,3,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,2,2,1,1,3,3,2,1,3,2,3,2,3,2,3,3,4,4,4,4,20000
0809,1966,01,0022,09,1132,1,1,01,02,6,,,,,,,,,,,,,,,6,5,,,,,,,,,3,4,4,4,4,3,4,0,0,0,0,1,0,0,,,,,,,,,,,,,,2,4,4,4,4,3,4,2,3,4,6,1,5,,,,014,010,000,007,007,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,3,2,2,3,2,07,03,03,11,11,05,05,11,11,07,07,10,2,3,4,4,4,4,2,5,3,4,4,4,5,5,2,2,2,2,2,4,2,2,2,2,2,5,,3,1,2,,,,,4,4,4,5,2,2,5,5,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,3,1,1,5,3,2,,2,2,2,2,2,2,2,1,4,4,4,15818
0809,1966,01,0056,09,1132,2,1,02,04,2,,,,,,,,1,19,2,,,2,2,5,5,,,,,,,,,3,4,3,3,2,4,3,,,,,,,,,1,1,1,0,0,0,1,1,0,0,0,,3,3,3,3,3,3,3,5,4,1,2,6,3,,,,004,004,000,021,000,000,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,1,0,,3,3,1,2,2,3,08,05,08,08,08,07,08,08,08,08,08,08,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,4,3,2,2,2,3,5,,1,3,2,,,,,3,4,3,3,3,3,3,3,3,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,2,1,3,1,1,3,3,3,1,3,3,3,3,3,28456
0809,1966,01,0090,09,1132,3,1,01,04,3,,,,,,,,1,19,1,1,1,,,4,5,,,,,,,,,3,3,2,2,2,3,1,,,,,,,,,0,0,1,1,0,1,1,0,1,1,0,,2,3,3,3,2,3,3,5,6,2,3,4,1,,,,002,001,001,003,001,000,3,03,03,00,06,08,04,04,MUY INTERESANTE,PROCESO,,1,03,04,,1,1,15,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,,1,1,1,1,1,2,2,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,3,3,3,2,2,3,08,09,08,09,08,08,09,09,09,09,09,09,2,3,4,2,2,2,2,2,2,3,3,2,2,2,3,2,4,2,2,2,3,2,3,2,3,4,,2,1,3,,,,,3,2,2,2,2,2,3,2,2,2,1,2,1,1,1,1,2,3,1,1,1,2,1,3,3,2,2,2,1,1,3,3,1,3,2,2,2,2,2,2,2,2,3,3,2,9249
0809,0359,01,0102,09,1224,4,1,02,03,3,,,,,,,,,,,,,,,1,,4,VENDE ROPA Y ZAPATOS DE SEGUNDA EN LA VIA PUBLICA,7201,COMERCIANTE,COMPRAVENTA DE ROPA Y ZAPATOS DE SEGUNDA S N,4661,COMPRA Y VENDE ROPA Y ZAPATOS DE SEGUNDA,2,3,3,2,2,1,4,2,,,,,,,,,1,0,1,0,1,1,1,1,1,0,0,,1,2,3,3,2,2,2,1,3,4,6,2,5,,,,028,014,000,000,,,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,,,,,,,,,,,,1,0,1,0,0,0,0,0,,3,3,2,2,2,2,02,03,02,05,08,06,02,07,07,06,10,10,4,4,4,2,2,2,2,4,3,4,4,2,1,2,3,3,4,3,4,4,4,2,4,4,4,3,,1,3,2,,,,,2,3,2,3,2,2,3,5,2,2,1,1,1,1,1,3,1,1,1,2,2,2,2,3,3,3,1,2,1,2,3,3,2,,1,1,1,2,4,1,2,3,3,3,4,7709
0809,0469,01,0072,09,1449,2,1,02,06,3,2033,INFORMATICA ADMINISTRATIVA,3,2,2,2,1,2,24,2,,,2,2,1,,1,ORGANIZAR A LOS VERIFICADORES DE SINIESTROS ASI COMO ENTREGA DE MATERIALES,2110,DIRECTORA GENERAL,CENTRO DE ESTUDIOS JURIDICOS Y PERICIALES,9313,REALIZAR PERITAJES DE SINIESTROS,2,3,4,3,3,2,3,3,,,,,,,,,0,1,1,1,1,0,1,1,1,1,0,,3,4,3,3,3,3,3,6,5,4,3,1,2,,,,010,005,005,016,000,000,2,05,04,01,03,08,04,04,EL ABOGADO,MUY INTERESANTE,,1,01,02,,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,,2,1,2,2,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,3,2,3,2,2,08,10,09,10,09,08,09,10,10,10,10,10,2,2,3,2,1,1,1,1,1,3,3,2,2,2,2,3,2,2,2,4,2,1,1,1,2,2,,1,2,3,,,,,3,2,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,2,2,1,1,1,3,3,2,,2,2,3,3,2,3,2,4,4,4,4,15290
0809,0469,01,0125,09,1449,3,1,01,06,3,1442,ENFERMERIA Y OBSTETRICIA,2,,,,,1,19,2,,,1,1,2,,4,REGULARIZAR DIRIGIR TAREAS A NIÑOS DE PRIMARIA SECUNDARIA Y MEDIO SUPERIOR,1320,MAESTRA,SERVICIO DE REGULARIZACION SIN NOMBRE,6141,REGULARIZAR EN DIFERENTES MATERIAS Y APOYO A TAREAS DE PRIMARIA SECUNDARIA Y PREPA EN SU DOMICILIO.,2,3,3,2,2,2,3,3,,,,,,,,,1,1,1,0,1,0,0,1,1,0,0,,3,3,2,2,2,3,3,4,3,5,1,2,6,,,,028,020,008,000,,,3,20,20,00,00,,,,,,,1,01,04,,1,1,42,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,,2,2,2,1,1,1,2,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,4,2,2,2,2,3,05,07,03,11,04,08,11,07,11,03,11,10,2,2,3,3,2,2,2,4,4,4,4,2,2,1,1,2,3,1,3,4,2,2,2,1,4,4,,1,2,3,,,,,2,2,2,3,3,3,3,5,3,3,1,2,2,1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,3,2,3,4,1,3,1,1,1,2,1,3,3,3,3,3,2,7968
0809,1452,01,0126,15,0919,5,1,01,02,6,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,3,2,4,1,0,0,0,1,0,0,,,,,,,,,,,,,,4,3,4,4,3,2,4,2,3,4,6,1,5,,,,030,008,000,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,2,2,2,3,08,09,08,09,11,07,11,08,08,07,06,07,3,3,2,2,2,2,2,3,2,2,2,2,2,5,3,2,2,2,5,5,4,2,2,2,5,5,,2,3,1,,,,,4,5,4,4,4,4,5,5,4,4,1,2,2,1,2,3,1,1,3,2,1,2,1,3,3,3,2,1,1,3,3,1,2,,2,2,3,3,2,3,3,3,3,3,3,14524
0809,0661,01,0030,15,1095,2,1,01,07,4,3741,LICENCIATURA EN DERECHO,3,2,2,2,2,1,25,2,,,2,2,2,,1,APOYAR EN LA REALIZACION DE CONTRATOS DE SERVICIOS EN GENERAL,1160,ANALISTA,LUZ Y FUERZA DEL CENTRO,2210,PROPORCIONAR ENERGIA ELECTRICA A LA POBLACION,3,4,4,2,2,2,3,3,,,,,,,,,0,1,0,1,1,0,1,1,1,1,0,,4,3,2,2,2,3,3,4,2,5,1,3,6,,,,002,002,000,012,000,000,2,10,08,02,00,,,,,,,1,01,02,,1,1,84,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,,1,2,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,3,3,3,3,3,3,07,07,05,08,08,08,07,07,07,04,06,06,3,3,4,4,1,3,2,4,2,2,4,2,2,2,1,1,3,2,2,4,4,2,2,1,4,4,,1,3,2,,,,,3,3,3,3,5,3,3,3,5,3,1,2,1,1,2,2,1,1,1,1,1,1,1,3,3,1,2,2,3,3,3,3,1,3,2,2,2,4,2,2,2,5,4,3,3,5717
0809,0232,01,0103,15,1237,5,1,01,07,4,4111,INGENIERO CIVIL,3,2,1,1,1,1,24,2,,,2,1,1,,5,"DISEÑO ESTRUCTURAL, PROYECTO Y FABRICACION DE CASAS, PRINCIPALMENTE DE ESTRUCTURA METALICA",1101,INGENIERO CIVIL,SERVICIO DE CONSTRUCCION Y DISEÑO DE CASAS S/N,2361,REALIZA DISEÑO Y CONSTRUCCION DE CASAS A BASE DE ESTRUCTURA METALICA,2,4,4,1,1,1,3,3,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,,4,4,3,3,3,3,3,6,4,3,2,5,1,,,,007,004,002,021,007,007,7,02,01,01,00,,,,,,,1,01,02,,1,1,14,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,,1,2,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,3,2,3,1,2,3,09,09,04,09,09,08,05,10,10,10,08,10,3,3,3,2,1,2,1,2,3,3,2,1,1,1,1,2,4,1,3,1,3,1,2,1,4,2,1,2,,3,,,,,2,3,2,3,3,3,3,3,3,3,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,3,1,1,3,1,1,1,1,1,4,3,1,1,4,1,7813
0809,0722,01,0023,15,1248,1,1,01,03,3,,,,,,,,,,,,,,,1,,1,"ATENCION AL USUARIO, PAGO DE CHEQUES, CAMBIO DE MONEDA, APERTURA DE CUENTAS, ETCETERA",6210,CAJERO,BANCO NACIONAL DE MEXICO (BANAMEX),5221,"ABRIR CUENTAS BANCARIAS, DE CREDITO, AHORRO, OTORGAMIENTO DE DIVERSOS TIPOS DE CREDITO",2,2,2,3,3,3,3,1,,,,,,,,,0,1,1,0,0,0,0,0,1,1,0,,2,2,3,3,2,2,1,3,6,1,2,5,4,,,,010,004,001,010,002,000,5,07,07,00,00,,,,,,,1,02,04,,1,1,6,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,0,0,0,0,1,0,,3,3,3,2,2,3,09,09,08,07,10,05,09,09,10,10,07,02,2,2,4,1,2,2,4,4,2,4,2,2,2,2,2,1,2,2,3,4,3,1,3,1,4,3,,2,1,3,,,,,2,2,3,3,3,3,3,3,3,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,3,3,1,3,2,2,2,2,2,1,3,3,3,2,4,16196
0809,0722,01,0082,15,1248,3,1,01,02,6,,,,,,,,,,,,,,,8,3,6,,,,,,,,2,1,3,4,3,4,4,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,,2,1,4,4,3,4,3,2,4,5,6,3,1,,,,014,006,000,020,006,000,1,15,10,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,1,0,0,0,0,1,0,,4,2,2,3,2,2,05,08,07,08,08,06,06,09,08,09,04,04,3,3,3,2,2,2,2,2,2,3,3,1,3,3,2,2,2,2,3,3,2,1,1,2,3,3,,1,2,3,,,,,3,5,3,4,3,4,4,4,3,4,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,,1,1,1,1,1,2,2,2,2,2,2,24735
0809,0722,01,0149,15,1248,5,1,01,02,3,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,4,4,4,0,0,1,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,4,4,4,1,3,2,5,6,4,,,,000,,,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,1,1,0,1,0,,1,5,4,5,5,5,07,09,07,10,08,07,06,05,09,10,10,08,2,2,3,2,2,2,2,2,2,2,3,2,2,5,5,5,5,5,5,5,5,1,1,3,5,5,3,1,2,,,,,,4,5,4,5,4,5,5,5,4,5,1,1,1,2,3,3,1,1,1,1,1,3,1,3,1,3,3,3,3,1,1,1,2,,1,1,2,2,2,2,2,2,2,2,2,5502
0809,3869,01,0019,15,1407,1,1,02,07,4,4151,INGENIERO MECANICO,3,2,1,2,1,1,19,2,,,2,1,1,,4,"REALIZAR AFINACIONES, AJUSTES, SUSPENCIONES, ESCANEO, A AUTOMOVILES DE DIVERSAS MARCAS",5245,MECANICO AUTOMOTRIZ,SERVICIO DE TALLER MECANICO SIN NOMBRE,8111,A REPARAR AUTOMOVILES EN COMBUSTION DE GASOLINA,2,1,2,3,3,3,3,3,,,,,,,,,0,1,0,0,0,0,1,0,0,1,0,,1,2,3,3,3,2,3,5,4,6,2,3,1,,,,018,004,001,020,007,000,7,12,06,03,00,,,,,,,1,01,02,,1,1,14,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,,2,1,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,1,0,,2,2,2,3,2,3,01,10,09,09,09,07,05,08,08,05,09,08,3,3,3,4,2,2,2,3,4,4,4,1,1,2,1,1,1,1,2,2,1,1,3,1,3,3,,3,2,1,,,,,3,2,3,3,3,4,4,4,3,4,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,3,3,1,3,1,2,3,2,2,1,3,3,2,2,2,22168
0809,3869,01,0043,15,1407,2,1,02,02,6,,,,,,,,,,,,,,,8,5,,,,,,,,,4,4,4,4,4,4,4,0,0,0,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,4,4,4,1,4,5,6,2,3,,,,012,006,000,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,1,0,1,1,1,0,0,,3,3,3,2,3,2,08,10,07,08,07,09,07,08,08,10,10,06,3,3,3,2,2,2,2,2,3,3,2,2,2,3,2,2,3,3,3,3,2,2,2,2,5,5,,1,2,3,,,,,5,5,4,4,4,4,5,5,4,4,1,3,1,2,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,1,1,2,,2,2,2,2,2,5,2,2,2,5,2,14222
0809,3869,01,0078,15,1407,3,1,01,03,3,,,,,,,,,,,,,,,1,,1,ACOMODA Y DESPACHA MERCANCIA,7111,AYUDANTE GENERAL,PLASTICOS SALOMON,4661,COMPRA VENTA DE ARTICULOS PARA EL HOGAR,2,3,3,3,3,2,3,2,,,,,,,,,1,0,1,0,0,0,0,0,0,1,0,,3,3,4,4,4,4,4,1,5,6,3,2,4,,,,014,010,001,021,010,000,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,2,,,,,,,,,,,,1,0,0,0,0,0,1,0,,5,3,3,3,4,4,04,10,08,10,10,06,07,10,10,10,10,10,3,3,4,2,3,3,2,2,4,4,4,1,2,5,1,2,4,4,4,3,1,1,2,1,3,3,2,1,3,,,,,,2,4,2,4,4,4,4,4,4,4,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,12723
0809,3869,01,0103,15,1407,4,1,02,02,6,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,3,4,3,0,0,0,1,0,0,0,,,,,,,,,,,,,,4,4,4,4,3,3,3,1,3,5,6,2,4,,,,007,005,000,005,003,000,1,05,03,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,5,2,2,5,5,5,06,06,07,09,10,07,10,10,10,10,08,09,2,2,2,2,2,2,2,2,3,4,4,1,3,3,1,1,1,2,2,4,2,1,1,1,5,5,,1,2,3,,,,,4,3,2,4,4,4,4,4,4,4,1,1,1,2,3,3,1,2,1,1,1,3,1,3,3,3,1,3,1,1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,12655
0809,3869,01,0141,15,1407,5,1,01,02,6,,,,,,,,,,,,,,,1,,1,RECOLECTAR LA BASURA QUE SE ACUMULA EN LAS VIVIENDAS,8124,RECOLECTOR DE BASURA,TRANSPORTES UNIDOS DE MEXICO A.C. (TUMAC),9314,RECOLECCION DE BASURA ORGANICA E INORGANICA EN LAS AREAS ASIGNADAS POR EL MUNICIPIO,2,4,4,4,4,4,3,4,0,1,1,0,0,0,0,,,,,,,,,,,,,,4,4,4,4,4,4,4,1,2,4,5,3,6,,,,007,002,000,010,002,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,0,1,1,1,0,0,,5,2,2,5,4,2,08,09,05,06,09,03,08,09,09,10,07,10,3,3,3,3,2,2,2,4,4,4,4,1,3,3,2,2,3,3,3,3,3,1,2,3,5,5,,3,1,2,,,,,4,4,3,4,4,4,4,4,4,4,1,2,1,2,3,1,1,1,1,3,1,2,1,3,3,1,3,2,1,1,2,3,2,,2,2,2,2,2,2,2,2,2,2,2,6188
