"CD,C,2","PER,C,4","AGEB,C,4","ENT,C,2","CON,C,4","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","RFC_E,C,10","RFC_S,C,10","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,C,2","P2,C,1","P3,C,2","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
14,0811,2511,01,0268,0039,2,1,-,-,01,12/08/2011,01,15/08/2011,03,1,,02,01,4637
14,0811,2511,01,0268,0062,3,1,-,-,01,12/08/2011,01,15/08/2011,04,1,,03,03,4637
14,0811,2583,01,0270,0044,2,1,-,-,01,12/08/2011,01,15/08/2011,06,1,,03,04,4501
14,0811,2583,01,0270,0072,3,1,-,-,01,12/08/2011,01,15/08/2011,04,1,,02,01,4501
14,0811,2583,01,0270,0099,4,1,-,-,01,12/08/2011,01,15/08/2011,02,1,,01,02,4501
14,0811,0498,01,0276,0031,2,1,-,-,01,10/08/2011,01,11/08/2011,01,,,01,01,6080
14,0811,0498,01,0276,0100,5,1,-,-,01,08/08/2011,01,10/08/2011,02,1,,02,02,6080
14,0811,255A,01,0285,0075,3,1,-,-,01,11/08/2011,01,12/08/2011,03,1,,02,02,4011
14,0811,255A,01,0285,0127,5,1,-,-,01,11/08/2011,01,12/08/2011,04,1,,02,02,4011
14,0811,159A,01,0300,0007,1,1,-,-,01,12/08/2011,01,15/08/2011,04,1,,01,02,5346
14,0811,159A,01,0300,0122,3,1,-,-,01,13/08/2011,01,15/08/2011,04,1,,01,01,5346
14,0811,2668,01,0326,0020,1,1,-,-,01,10/08/2011,01,11/08/2011,05,1,,02,02,7499
14,0811,2668,01,0326,0046,2,1,-,-,01,09/08/2011,01,10/08/2011,04,1,,02,01,7499
14,0811,2668,01,0326,0096,4,1,-,-,01,09/08/2011,01,10/08/2011,02,1,,02,01,7499
14,0811,262A,01,0328,0044,2,1,-,-,01,10/08/2011,01,11/08/2011,04,1,,04,04,4713
14,0811,262A,01,0328,0069,3,1,-,-,01,10/08/2011,01,11/08/2011,04,1,,04,04,4713
14,0811,1320,01,0385,0019,1,1,-,-,01,10/08/2011,01,11/08/2011,04,1,,01,02,5244
14,0811,1320,01,0385,0079,3,1,-,-,01,10/08/2011,01,11/08/2011,04,1,,01,02,5244
14,0811,1320,01,0385,0106,4,1,-,-,01,09/08/2011,01,10/08/2011,08,1,,02,02,5244
14,0811,1320,01,0385,0138,5,1,-,-,01,10/08/2011,01,11/08/2011,07,1,,02,02,5244
14,0811,0604,01,0013,0101,4,1,-,-,01,01/08/2011,01,22/08/2011,01,,,01,01,5042
14,0811,2795,01,0047,0014,1,1,-,-,01,11/08/2011,01,17/08/2011,05,1,,02,01,6122
14,0811,2795,01,0047,0141,5,1,-,-,01,17/08/2011,01,17/08/2011,04,1,,02,02,6122
14,0811,1299,01,0122,0146,1,1,-,-,01,16/08/2011,01,17/08/2011,05,1,,02,05,5555
14,0811,1299,01,0122,0220,3,1,-,-,01,18/08/2011,01,19/08/2011,04,1,,02,01,5555
14,0811,3168,01,0163,0073,4,1,-,-,01,16/08/2011,01,17/08/2011,03,1,,03,03,4624
14,0811,2812,01,0193,0011,1,1,-,-,01,12/08/2011,01,17/08/2011,05,1,,01,03,5341
14,0811,2812,01,0193,0073,4,1,-,-,01,17/08/2011,01,18/08/2011,06,1,,02,01,5341
14,0811,2812,01,0193,0093,5,1,-,-,01,16/08/2011,01,17/08/2011,02,1,,02,02,5341
14,0811,2511,01,0268,0109,5,1,-,-,01,11/08/2011,01,17/08/2011,03,1,,02,01,4637
14,0811,255A,01,0285,0048,2,1,-,-,01,17/08/2011,01,18/08/2011,05,1,,02,02,4011
14,0811,159A,01,0300,0065,2,1,-,-,01,13/08/2011,01,17/08/2011,02,1,,01,01,5346
14,0811,159A,01,0300,0176,4,1,-,-,01,15/08/2011,01,17/08/2011,07,1,,04,01,5346
