"CD,C,2","PER,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S4P23_1,C,1","S4P23_2,C,1","S4P23_3,C,1","S4P23_4,C,1","S4P23_5,C,1","S4P23_6,C,1","S4P23_7,C,1","S4P23_8,C,1","S4P23_9,C,1","S4P23_10,C,1","S4P23_11,C,1","S4P23_12,C,1","S4P24_1,C,1","S4P24_2,C,1","S4P24_3,C,1","S4P24_4,C,1","S4P24_5,C,1","S4P24_6,C,1","S4P24_7,C,1","S4P24_8,C,1","S4P24_9,C,1","S4P24_10,C,1","S4P25_1,C,1","S4P25_2,C,1","S4P25_3,C,1","S4P25_4,C,1","S4P25_5,C,1","S4P25_6,C,1","S4P25_7,C,1","S4P26_1,C,1","S4P26_2,C,1","S4P26_3,C,1","S4P26_4,C,1","S4P26_5,C,1","S4P26_6,C,1","S4P26_7,C,1","S4P26_8,C,1","S4P26_9,C,1","S4P26_10,C,1","S4P26_11,C,1","S4P27_1,C,1","S4P27_2,C,1","S4P27_3,C,1","S4P27_4,C,1","S4P27_5,C,1","S4P28_1,C,1","S4P28_2,C,1","S4P28_3,C,1","S4P28_4,C,1","S4P28_5,C,1","S4P28_6,C,1","S4P29,C,1","S4P29_ES,C,50","S4P29_1,C,1","S4P29_1_ES,C,50","S4P29_2,C,1","S4P29_3,C,1","S4P29_4,C,1","S4P29_5,C,1","S4P29_6,C,1","S4P30_1,C,1","S4P30_2,C,1","S4P30_3,C,1","S4P30_4,C,1","S4P30_5,C,1","S4P30_6,C,1","S4P30_7,C,1","S4P30_8,C,1","S4P31_1,C,1","S4P31_2,C,1","S4P31_3,C,1","S4P32,C,1","S4P32_1,C,1","S4P32_2,C,1","S4P33_1,C,1","S4P33_2_1,C,1","S4P33_2_2,C,1","S4P33_2_3,C,1","S4P33_2_4,C,1","S4P33_2_5,C,1","S4P33_2_6,C,1","S4P33_2_7,C,1","S4P34,C,1","S4P34_1,C,1","S4P35,C,1","S5P1,C,1","S5P2_1,C,1","S5P2_2,C,1","S5P2_3,C,1","S5P2_4,C,1","S5P2_5,C,1","S5P2_6,C,1","S5P2_ESP,C,50","S5P3,C,1","S5P4_1,C,1","S5P4_2,C,1","S5P4_3,C,1","S5P4_4,C,1","S5P4_5,C,1","S5P4_6,C,1","S5P4_7,C,1","S5P4_8,C,1","S5P4_9,C,1","S5P4_ES,C,20","S5P5,C,1","S5P6_1,C,1","S5P6_2,C,1","S5P6_3,C,1","S5P6_4,C,1","S5P6_5,C,1","S5P6_6,C,1","S5P6_7,C,1","S5P6_8,C,1","S5P6_9,C,1","S5P6_10,C,1","S5P6_11,C,1","S5P6_12,C,1","S5P6_13,C,1","S5P7,C,1","S5P8,C,1","S5P9,C,1","S5P10_1,C,1","S5P10_2,C,1","S5P10_3,C,1","S5P10_4,C,1","S5P10_5,C,1","S5P10_6,C,1","S5OBS,C,50","FAC,N,6,0"
14,0811,01,0293,4,2,01,3,2,3,2,3,2,5,3,5,5,3,5,5,5,2,5,1,2,5,5,5,5,5,2,2,5,5,5,2,5,2,2,2,5,5,5,5,5,2,5,5,2,5,5,2,2,2,2,5,5,5,1,,2,,3,2,,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,3,5,3,5,5,3,5,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10058
14,0811,01,0293,4,3,01,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,,5,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,5,2,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11619
14,0811,01,0013,1,1,05,1,1,1,1,3,2,2,4,4,3,3,1,1,1,1,1,1,3,3,3,3,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,4,3,2,2,2,1,3,2,2,2,,2,,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,1,4,2,2,4,2,1,3,3,1,1,0,0,1,0,0,,1,3,1,2,2,1,1,1,2,2,,1,1,2,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,3,,26950
14,0811,01,0013,2,1,02,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,5,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,,3,2,,2,3,3,3,2,2,1,2,1,1,1,1,1,2,,,2,2,2,2,2,2,3,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17802
14,0811,01,0013,3,1,02,1,2,1,2,3,3,3,4,4,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,2,2,2,1,1,2,2,2,,1,,3,2,,2,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,4,2,2,4,2,4,4,2,2,,3,1,0,0,1,0,0,0,,1,1,1,2,3,1,1,3,2,2,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,3,6,6,6,6,6,6,,10284
14,0811,01,0013,5,1,01,1,1,1,3,3,3,3,4,2,4,3,2,2,2,3,1,1,2,1,1,1,3,2,3,4,2,3,2,2,2,1,1,2,2,2,4,2,2,1,1,1,2,4,3,2,2,1,3,3,1,2,2,,2,,2,2,,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,3,2,2,3,2,4,4,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15154
14,0811,01,0039,3,1,01,2,2,1,2,3,1,2,4,2,2,2,5,2,1,1,1,4,2,4,1,5,2,1,1,4,1,1,1,4,2,1,2,1,1,1,1,2,3,2,1,3,5,5,2,2,2,2,2,1,1,2,1,,2,,2,2,,2,3,1,1,1,1,1,2,1,1,3,1,1,2,,,1,1,1,1,1,4,1,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4851
14,0811,01,0039,4,1,02,1,2,2,2,3,2,4,4,4,3,4,1,2,2,2,2,1,2,2,2,3,2,2,2,1,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,,1,,4,2,,2,2,4,1,1,4,2,4,1,4,3,3,3,1,2,1,2,2,2,4,1,4,4,4,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9703
14,0811,01,0039,5,1,03,1,1,2,2,2,3,3,3,2,2,3,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,2,1,,1,,3,2,,2,2,1,1,1,1,1,2,1,3,5,2,5,1,2,1,1,3,2,2,3,2,3,2,2,,3,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15670
14,0811,01,0151,1,1,03,1,2,1,2,2,2,2,4,2,2,4,1,2,2,3,2,2,4,4,2,1,1,3,4,3,2,4,1,1,4,2,2,1,2,2,3,2,3,2,2,3,3,4,4,4,2,2,1,3,1,3,2,,2,,2,2,,2,2,1,1,3,3,1,3,1,3,2,2,2,1,2,2,1,1,1,4,1,4,1,1,2,,1,1,0,0,1,0,1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20831
14,0811,01,0151,2,1,02,2,2,1,2,4,2,4,1,3,3,3,2,2,2,2,2,2,3,2,1,2,3,3,4,3,2,2,3,2,1,1,1,1,2,1,3,2,2,2,1,3,3,4,1,1,3,1,1,4,2,2,1,,1,,3,2,,2,1,4,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,3,3,4,4,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15317
14,0811,01,0151,3,1,03,2,2,2,2,2,2,2,4,3,3,4,2,2,2,2,2,2,1,2,2,2,2,4,3,3,2,1,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,,1,,3,2,,2,3,1,1,1,1,1,2,1,2,1,1,1,1,2,2,3,1,1,2,2,4,4,4,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18419
14,0811,01,0151,4,1,04,1,2,2,1,4,2,2,3,2,4,4,2,2,2,3,2,2,2,3,2,2,2,3,3,4,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2,5,2,4,3,1,2,2,2,3,2,5,1,,1,,1,2,,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,3,2,4,1,4,5,5,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28973
14,0811,01,0151,5,1,01,1,1,1,1,4,2,2,2,1,3,4,2,2,2,2,2,3,4,3,2,2,1,2,3,4,2,1,1,4,2,2,2,1,2,2,2,3,2,1,2,3,4,4,2,2,2,1,2,3,1,2,1,,1,,2,2,,2,1,2,1,1,1,1,3,1,2,3,3,2,2,,,2,2,4,4,1,4,1,4,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12367
14,0811,01,0163,2,1,01,2,2,2,2,2,2,2,2,5,2,3,5,5,5,5,5,5,5,2,2,5,2,2,2,2,5,5,2,2,2,2,2,2,2,2,5,2,5,2,2,5,5,5,3,2,2,2,5,3,5,5,1,,2,,1,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,,,1,1,2,3,5,5,5,5,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210
14,0811,01,0163,3,1,03,2,2,2,2,2,3,2,3,3,3,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,,2,,3,2,,2,2,1,1,1,1,1,1,1,2,1,1,1,2,,,5,2,2,3,2,5,3,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14830
14,0811,01,0201,1,1,01,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,5,5,5,5,5,5,2,2,2,2,5,2,5,2,2,2,5,5,5,5,5,5,2,5,5,5,1,,1,,5,2,,2,1,2,2,2,2,2,2,1,2,1,1,1,2,,,2,5,5,3,5,5,5,5,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182
14,0811,01,0201,2,1,01,2,2,5,2,5,5,5,5,5,2,3,5,3,5,2,2,3,3,3,2,5,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,5,2,5,1,,1,,3,2,,2,1,2,2,1,1,1,1,1,1,1,1,1,2,,,3,2,5,3,3,5,5,5,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18547
14,0811,01,0201,3,1,01,2,2,2,2,2,2,2,2,3,5,3,2,2,2,2,2,2,2,3,5,2,2,3,2,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,5,3,2,2,1,,1,,3,2,,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,2,3,3,3,3,2,2,,1,1,1,0,0,0,0,0,,1,1,1,2,1,1,1,2,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,2,3,1,2,2,,24149
